expansion_id,standard_id,standard_number,expansion_type,expanded_query,language,generation_method,authority_status,validation_status
EXP-V03-00012-2,MSV1-5D692F4BDF89CE03,IS 13872:2026,TITLE_DERIVED_QUERY,household sewing machine stitch,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00013-1,MSV1-7C4E13F808C720BA,IS 9874:2026,TITLE_DERIVED_QUERY,assembly sewing machines household purposes first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00013-2,MSV1-7C4E13F808C720BA,IS 9874:2026,TITLE_DERIVED_QUERY,assembly sewing machines household,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00014-1,MSV1-20ACEEB0051A3B01,IS 10325:2026,TITLE_DERIVED_QUERY,square tins litre capacity ghee vanaspati edible oils,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00014-2,MSV1-20ACEEB0051A3B01,IS 10325:2026,TITLE_DERIVED_QUERY,square tins litre capacity,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00015-1,MSV1-D8EEC4771AE63FE3,IS 12112:2026,TITLE_DERIVED_QUERY,control pollution refractory industries code practice first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00015-2,MSV1-D8EEC4771AE63FE3,IS 12112:2026,TITLE_DERIVED_QUERY,control pollution refractory industries,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00016-1,MSV1-DF1D95FB49D5F0E3,IS 7385:2026,TITLE_DERIVED_QUERY,taper grooved pins half length progressive grooves third,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00016-2,MSV1-DF1D95FB49D5F0E3,IS 7385:2026,TITLE_DERIVED_QUERY,taper grooved pins half,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00017-1,MSV1-E79E9873164FB2F5,IS 13618:2026,TITLE_DERIVED_QUERY,mine haulages direct rope,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00018-1,MSV1-7BDE2FF9C85BC665,IS 12185:2026,TITLE_DERIVED_QUERY,control pollution aluminium industry code practice first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00018-2,MSV1-7BDE2FF9C85BC665,IS 12185:2026,TITLE_DERIVED_QUERY,control pollution aluminium industry,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00019-1,MSV1-27E0843782F7412B,IS 11916:2026,TITLE_DERIVED_QUERY,textiles continuous filament glass yarn aerospace other purposes,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00019-2,MSV1-27E0843782F7412B,IS 11916:2026,TITLE_DERIVED_QUERY,textiles continuous filament glass,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00020-1,MSV1-391106B5860F79C6,IS 10447:2026,TITLE_DERIVED_QUERY,solid waste management iron steel plants guidelines first,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00020-2,MSV1-391106B5860F79C6,IS 10447:2026,TITLE_DERIVED_QUERY,solid waste management iron,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00021-1,MSV1-B14B163A001A39A0,IS 11304:2026,TITLE_DERIVED_QUERY,control pollution iron steel plants code practice first,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00021-2,MSV1-B14B163A001A39A0,IS 11304:2026,TITLE_DERIVED_QUERY,control pollution iron steel,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00022-1,MSV1-1DDE68C6A175E748,IS 16810 (Part 1):2026,TITLE_DERIVED_QUERY,safety machinery safety related parts control systems principles,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00022-2,MSV1-1DDE68C6A175E748,IS 16810 (Part 1):2026,TITLE_DERIVED_QUERY,safety machinery safety related,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00023-1,MSV1-6C72DBECC4610B49,IS 16815:2026,TITLE_DERIVED_QUERY,safety machinery positioning safeguards with respect approach human,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00023-2,MSV1-6C72DBECC4610B49,IS 16815:2026,TITLE_DERIVED_QUERY,safety machinery positioning safeguards,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00024-1,MSV1-CAA5A939E23855D9,IS 7967:2026,TITLE_DERIVED_QUERY,controlling pollution marine coastal outfalls guidelines first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00024-2,MSV1-CAA5A939E23855D9,IS 7967:2026,TITLE_DERIVED_QUERY,controlling pollution marine coastal,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00025-1,MSV1-2102B9299AE692BD,IS 3256:2026,TITLE_DERIVED_QUERY,textiles inland packaging ropes cordages code practice second,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00025-2,MSV1-2102B9299AE692BD,IS 3256:2026,TITLE_DERIVED_QUERY,textiles inland packaging ropes,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00026-1,MSV1-DA4934D3570DA0D7,IS 5175:2026,TITLE_DERIVED_QUERY,fibre ropes polypropylene split film monofilament multifilament strand,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00026-2,MSV1-DA4934D3570DA0D7,IS 5175:2026,TITLE_DERIVED_QUERY,fibre ropes polypropylene split,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00027-1,MSV1-8DF868A81D7A0E2A,IS 13450 (Part 2/Sec 6):2026,TITLE_DERIVED_QUERY,medical electrical equipment particular basic safety essential performance,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00027-2,MSV1-8DF868A81D7A0E2A,IS 13450 (Part 2/Sec 6):2026,TITLE_DERIVED_QUERY,medical electrical equipment particular,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00028-1,MSV1-52A9639E1762156A,IS 15732 (Part 1):2026,TITLE_DERIVED_QUERY,endoscopes medical endoscopes endotherapy devices second revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00028-2,MSV1-52A9639E1762156A,IS 15732 (Part 1):2026,TITLE_DERIVED_QUERY,endoscopes medical endoscopes endotherapy,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00029-1,MSV1-AC4D3D747EFD6CC3,IS 15732 (Part 4):2026,TITLE_DERIVED_QUERY,endoscopes medical endoscopes endotherapy devices determination maximum width,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00029-2,MSV1-AC4D3D747EFD6CC3,IS 15732 (Part 4):2026,TITLE_DERIVED_QUERY,endoscopes medical endoscopes endotherapy,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00030-1,MSV1-52A4FC6EAEBF8FE1,IS 13450 (Part 2/Sec 75):2026,TITLE_DERIVED_QUERY,medical electrical equipment particular basic safety essential performance,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00030-2,MSV1-52A4FC6EAEBF8FE1,IS 13450 (Part 2/Sec 75):2026,TITLE_DERIVED_QUERY,medical electrical equipment particular,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00031-1,MSV1-F6BAB5C5201D5B3E,IS 13450 (Part 2/Sec 83):2026,TITLE_DERIVED_QUERY,medical electrical equipment particular basic safety essential performance,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00031-2,MSV1-F6BAB5C5201D5B3E,IS 13450 (Part 2/Sec 83):2026,TITLE_DERIVED_QUERY,medical electrical equipment particular,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00032-1,MSV1-CB5033454CF46F97,IS 5647:2026,TITLE_DERIVED_QUERY,toluidine,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00033-1,MSV1-1D08C26BAABC450A,IS 5649:2026,TITLE_DERIVED_QUERY,toluidine,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00034-1,MSV1-121E312273C342CD,IS 6156:2026,TITLE_DERIVED_QUERY,chlorosulphonic acid code safety first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00034-2,MSV1-121E312273C342CD,IS 6156:2026,TITLE_DERIVED_QUERY,chlorosulphonic acid code safety,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00035-1,MSV1-238440F8B1C5DF30,IS 10870:2026,TITLE_DERIVED_QUERY,hexane code safety first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00035-2,MSV1-238440F8B1C5DF30,IS 10870:2026,TITLE_DERIVED_QUERY,hexane code safety first,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00036-1,MSV1-17AB49410C808873,IS 19887:2026,TITLE_DERIVED_QUERY,monocalcium phosphate animal feed grade,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00036-2,MSV1-17AB49410C808873,IS 19887:2026,TITLE_DERIVED_QUERY,monocalcium phosphate animal feed,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00037-1,MSV1-3AC813ED272F47C7,IS 19901:2026,TITLE_DERIVED_QUERY,safe handling biotherapeutic products used homoeopathy guidelines,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00037-2,MSV1-3AC813ED272F47C7,IS 19901:2026,TITLE_DERIVED_QUERY,safe handling biotherapeutic products,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00038-1,MSV1-56488BF2DE8D3C2D,IS 19897:2026,TITLE_DERIVED_QUERY,homoeopathic mother tinctures hydro alcoholic extracts,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00038-2,MSV1-56488BF2DE8D3C2D,IS 19897:2026,TITLE_DERIVED_QUERY,homoeopathic mother tinctures hydro,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00039-1,MSV1-C29C1E6215CD70B8,IS 19900:2026,TITLE_DERIVED_QUERY,echinacea angustifolia whole plant traditional medicine,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00039-2,MSV1-C29C1E6215CD70B8,IS 19900:2026,TITLE_DERIVED_QUERY,echinacea angustifolia whole plant,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00040-1,MSV1-C7A0A2CEA9EDCDAA,IS 19898:2026,TITLE_DERIVED_QUERY,echinacea angustifolia hydro alcoholic extract homoeopathy,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00040-2,MSV1-C7A0A2CEA9EDCDAA,IS 19898:2026,TITLE_DERIVED_QUERY,echinacea angustifolia hydro alcoholic,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00041-1,MSV1-073BAA08B6122FF1,IS 302 (Part 2/Sec 16):2026,TITLE_DERIVED_QUERY,household similar electrical appliances safety particular food waste,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00041-2,MSV1-073BAA08B6122FF1,IS 302 (Part 2/Sec 16):2026,TITLE_DERIVED_QUERY,household similar electrical appliances,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00042-1,MSV1-9E8CA76691AB77AD,IS 302 (Part 2/Sec 36):2026,TITLE_DERIVED_QUERY,household similar electrical appliances safety particular commercial electric,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00042-2,MSV1-9E8CA76691AB77AD,IS 302 (Part 2/Sec 36):2026,TITLE_DERIVED_QUERY,household similar electrical appliances,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00043-1,MSV1-9568373A9402869B,IS 302 (Part 2/Sec 49):2026,TITLE_DERIVED_QUERY,household similar electrical appliances safety particular commercial electric,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00043-2,MSV1-9568373A9402869B,IS 302 (Part 2/Sec 49):2026,TITLE_DERIVED_QUERY,household similar electrical appliances,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00044-1,MSV1-4F790F6EDA5FADBE,IS 302 (Part 2/Sec 54):2026,TITLE_DERIVED_QUERY,household similar electrical appliances safety particular surface cleaning,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00044-2,MSV1-4F790F6EDA5FADBE,IS 302 (Part 2/Sec 54):2026,TITLE_DERIVED_QUERY,household similar electrical appliances,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00045-1,MSV1-0D3263E3039E279B,IS/ISO/IEC/IEEE 8802 (Part 1):2021,TITLE_DERIVED_QUERY,telecommunications exchange between information technology systems local metropolitan,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00045-2,MSV1-0D3263E3039E279B,IS/ISO/IEC/IEEE 8802 (Part 1):2021,TITLE_DERIVED_QUERY,telecommunications exchange between information,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00046-1,MSV1-A9D21EFE6B4252C1,IS/ISO/IEC 11179 (Part 6):2023,TITLE_DERIVED_QUERY,information technology metadata registries registration first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00046-2,MSV1-A9D21EFE6B4252C1,IS/ISO/IEC 11179 (Part 6):2023,TITLE_DERIVED_QUERY,information technology metadata registries,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00047-1,MSV1-9CFA1FE8910113D0,IS/ISO/IEC 14882:2024,TITLE_DERIVED_QUERY,programming languages second revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00048-1,MSV1-0C86F9F21218E54B,IS 302 (Part 2/Sec 26):2026,TITLE_DERIVED_QUERY,household similar electrical appliances safety particular clocks second,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00048-2,MSV1-0C86F9F21218E54B,IS 302 (Part 2/Sec 26):2026,TITLE_DERIVED_QUERY,household similar electrical appliances,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00049-1,MSV1-7999720A6F32853F,IS 7324:2026,TITLE_DERIVED_QUERY,brix hydrometers second revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00050-1,MSV1-3377AE13642F3A3E,IS 15284 (Part 1):2026,TITLE_DERIVED_QUERY,design construction ground improvement code practice stone columns,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00050-2,MSV1-3377AE13642F3A3E,IS 15284 (Part 1):2026,TITLE_DERIVED_QUERY,design construction ground improvement,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00051-1,MSV1-C956F39F4CBE6C55,IS 15284 (Part 2):2026,TITLE_DERIVED_QUERY,design construction ground improvement code practice preconsolidation using,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00051-2,MSV1-C956F39F4CBE6C55,IS 15284 (Part 2):2026,TITLE_DERIVED_QUERY,design construction ground improvement,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00052-1,MSV1-A9948391AE2E7355,IS 6452:2026,TITLE_DERIVED_QUERY,high alumina cement structural second revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00052-2,MSV1-A9948391AE2E7355,IS 6452:2026,TITLE_DERIVED_QUERY,high alumina cement structural,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00053-1,MSV1-28E0EFBB542CB521,IS 11233:2026,TITLE_DERIVED_QUERY,design construction foundations radar satellite tracking antennas microwave,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00053-2,MSV1-28E0EFBB542CB521,IS 11233:2026,TITLE_DERIVED_QUERY,design construction foundations radar,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00054-1,MSV1-06A04D781D01A2C6,IS 17425:2026,TITLE_DERIVED_QUERY,irrigation equipment quick coupled polyethylene pipes fittings sprinkler,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00054-2,MSV1-06A04D781D01A2C6,IS 17425:2026,TITLE_DERIVED_QUERY,irrigation equipment quick coupled,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00055-1,MSV1-EE967F00771BBFCC,IS 5306:2025,TITLE_DERIVED_QUERY,sodium carboxymethyl cellulose food grade third revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00055-2,MSV1-EE967F00771BBFCC,IS 5306:2025,TITLE_DERIVED_QUERY,sodium carboxymethyl cellulose food,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00056-1,MSV1-B34CAE2322CD0273,IS 5867:2026,TITLE_DERIVED_QUERY,leather board footwear insole first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00056-2,MSV1-B34CAE2322CD0273,IS 5867:2026,TITLE_DERIVED_QUERY,leather board footwear insole,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00057-1,MSV1-A0F5D002CD6D8458,IS 7328:2026,TITLE_DERIVED_QUERY,polyethylene material moulding extrusion third revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00057-2,MSV1-A0F5D002CD6D8458,IS 7328:2026,TITLE_DERIVED_QUERY,polyethylene material moulding extrusion,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00058-1,MSV1-4E3774B3A1934884,IS 8122 (Part 2):2026,TITLE_DERIVED_QUERY,combine harvester code second revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00058-2,MSV1-4E3774B3A1934884,IS 8122 (Part 2):2026,TITLE_DERIVED_QUERY,combine harvester code second,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00059-1,MSV1-94037F90D8E26E91,IS 8122 (Part 1):2026,TITLE_DERIVED_QUERY,combine harvester terminology second revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00059-2,MSV1-94037F90D8E26E91,IS 8122 (Part 1):2026,TITLE_DERIVED_QUERY,combine harvester terminology second,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00060-1,MSV1-229DB785CAF139F3,IS 7585:2026,TITLE_DERIVED_QUERY,wines analysis second revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00061-1,MSV1-38FC966A8B23DAF1,IS 9374:2026 P,TITLE_DERIVED_QUERY,flour milling industry glossary first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00061-2,MSV1-38FC966A8B23DAF1,IS 9374:2026 P,TITLE_DERIVED_QUERY,flour milling industry glossary,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00062-1,MSV1-D4104E86FD409C9A,IS 1989 (Part 1):2026,TITLE_DERIVED_QUERY,leather safety boots shoes miners fifth revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00062-2,MSV1-D4104E86FD409C9A,IS 1989 (Part 1):2026,TITLE_DERIVED_QUERY,leather safety boots shoes,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00063-1,MSV1-341D8871D06A8302,IS 1989 (Part 2):2026,TITLE_DERIVED_QUERY,leather safety boots shoes heavy metal industries fifth,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00063-2,MSV1-341D8871D06A8302,IS 1989 (Part 2):2026,TITLE_DERIVED_QUERY,leather safety boots shoes,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00064-1,MSV1-306742234323BAD0,IS 2553 (Part 3):2026,TITLE_DERIVED_QUERY,safety glass solar applications first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00064-2,MSV1-306742234323BAD0,IS 2553 (Part 3):2026,TITLE_DERIVED_QUERY,safety glass solar applications,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00065-1,MSV1-D23D7435D3D50E05,IS 19655 (Part 6):2026,TITLE_DERIVED_QUERY,handmade paper certificates,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
