document_id,standard_id,standard_number,search_text
DOC-DF1D95FB49D5F0E3,MSV1-DF1D95FB49D5F0E3,IS 7385:2026,"Standard Number: IS 7385:2026
Title: Taper grooved pins — Half-length progressive grooves — Specification (third revision)
Type: Product Specification
Degree of Equivalence: Identical under dual numbering"
DOC-E79E9873164FB2F5,MSV1-E79E9873164FB2F5,IS 13618:2026,"Standard Number: IS 13618:2026
Title: Mine Haulages - Direct Rope (50 kW to 150 kW) - General Requirements
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-7BDE2FF9C85BC665,MSV1-7BDE2FF9C85BC665,IS 12185:2026,"Standard Number: IS 12185:2026
Title: CONTROL OF AIR POLLUTION IN ALUMINIUM INDUSTRY — CODE OF PRACTICE (First Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-27E0843782F7412B,MSV1-27E0843782F7412B,IS 11916:2026,"Standard Number: IS 11916:2026
Title: Textiles – Continuous filament glass yarn for aerospace and other purposes – Specification (second revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-391106B5860F79C6,MSV1-391106B5860F79C6,IS 10447:2026,"Standard Number: IS 10447:2026
Title: Solid Waste Management in Iron and Steel Plants — Guidelines ( First Revision )
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-B14B163A001A39A0,MSV1-B14B163A001A39A0,IS 11304:2026,"Standard Number: IS 11304:2026
Title: CONTROL OF AIR POLLUTION IN IRON AND STEEL PLANTS — CODE OF PRACTICE (First Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-1DDE68C6A175E748,MSV1-1DDE68C6A175E748,IS 16810 (Part 1):2026,"Standard Number: IS 16810 (Part 1):2026
Title: Safety of Machinery — Safety-Related Parts of Control Systems Part 1 General Principles for Design (First Revision)
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-6C72DBECC4610B49,MSV1-6C72DBECC4610B49,IS 16815:2026,"Standard Number: IS 16815:2026
Title: Safety of Machinery — Positioning of Safeguards with Respect to the Approach of the Human Body (First Revision)
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-CAA5A939E23855D9,MSV1-CAA5A939E23855D9,IS 7967:2026,"Standard Number: IS 7967:2026
Title: Controlling Pollution of Marine Coastal Outfalls — Guidelines ( First Revision )
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-2102B9299AE692BD,MSV1-2102B9299AE692BD,IS 3256:2026,"Standard Number: IS 3256:2026
Title: Textiles — Inland Packaging of Ropes and Cordages — Code of Practice (Second Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-DA4934D3570DA0D7,MSV1-DA4934D3570DA0D7,IS 5175:2026,"Standard Number: IS 5175:2026
Title: Fibre ropes — Polypropylene split film monofilament and multifilament — 3-, 4-, 8- and 12- strand ropes (fifth revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-8DF868A81D7A0E2A,MSV1-8DF868A81D7A0E2A,IS 13450 (Part 2/Sec 6):2026,"Standard Number: IS 13450 (Part 2/Sec 6):2026
Title: Medical Electrical Equipment Part 2 Particular Requirements for Basic Safety and Essential Performance Section 6 Particular requirements for the basic safety and essential performance of microwave therapy equipment IEC 60601-2-6: 2022 MOD First Revision
Type: Product Specification
Degree of Equivalence: Modified/Technically Equivalent"
DOC-52A9639E1762156A,MSV1-52A9639E1762156A,IS 15732 (Part 1):2026,"Standard Number: IS 15732 (Part 1):2026
Title: Endoscopes - Medical Endoscopes and Endotherapy Devices Part 1 General Requirements (Second Revision)
Type: Product Specification
Degree of Equivalence: Identical under dual numbering"
DOC-AC4D3D747EFD6CC3,MSV1-AC4D3D747EFD6CC3,IS 15732 (Part 4):2026,"Standard Number: IS 15732 (Part 4):2026
Title: Endoscopes - Medical endoscopes and endotherapy devices Part 4 Determination of maximum width of insertion portion (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-52A4FC6EAEBF8FE1,MSV1-52A4FC6EAEBF8FE1,IS 13450 (Part 2/Sec 75):2026,"Standard Number: IS 13450 (Part 2/Sec 75):2026
Title: Medical electrical equipment Part 2 Particular requirements for the basic safety and essential performance Section 75 Photodynamic therapy and photodynamic diagnosis equipment
Type: Product Specification
Degree of Equivalence: Modified/Technically Equivalent"
DOC-F6BAB5C5201D5B3E,MSV1-F6BAB5C5201D5B3E,IS 13450 (Part 2/Sec 83):2026,"Standard Number: IS 13450 (Part 2/Sec 83):2026
Title: Medical electrical equipment Part 2 Particular requirements for the basic safety and essential performance Section 83 Home light therapy equipment
Type: Product Specification
Degree of Equivalence: Modified/Technically Equivalent"
DOC-CB5033454CF46F97,MSV1-CB5033454CF46F97,IS 5647:2026,"Standard Number: IS 5647:2026
Title: p-TOLUIDINE SPECIFICATION
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-1D08C26BAABC450A,MSV1-1D08C26BAABC450A,IS 5649:2026,"Standard Number: IS 5649:2026
Title: o-Toluidine
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-121E312273C342CD,MSV1-121E312273C342CD,IS 6156:2026,"Standard Number: IS 6156:2026
Title: Chlorosulphonic Acid — Code of Safety (First Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-238440F8B1C5DF30,MSV1-238440F8B1C5DF30,IS 10870:2026,"Standard Number: IS 10870:2026
Title: Hexane — Code of Safety (First Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-17AB49410C808873,MSV1-17AB49410C808873,IS 19887:2026,"Standard Number: IS 19887:2026
Title: Monocalcium phosphate, animal feed grade — Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-3AC813ED272F47C7,MSV1-3AC813ED272F47C7,IS 19901:2026,"Standard Number: IS 19901:2026
Title: Safe Handling of Biotherapeutic Products Used in Homoeopathy — Guidelines
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-56488BF2DE8D3C2D,MSV1-56488BF2DE8D3C2D,IS 19897:2026,"Standard Number: IS 19897:2026
Title: Homoeopathic Mother Tinctures (Hydro-Alcoholic Extracts) — Test Methods
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-C29C1E6215CD70B8,MSV1-C29C1E6215CD70B8,IS 19900:2026,"Standard Number: IS 19900:2026
Title: Echinacea Angustifolia DC. Whole Plant for Use in Traditional Medicine — Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-C7A0A2CEA9EDCDAA,MSV1-C7A0A2CEA9EDCDAA,IS 19898:2026,"Standard Number: IS 19898:2026
Title: Echinacea Angustifolia Hydro-Alcoholic Extract for Use in Homoeopathy — Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-073BAA08B6122FF1,MSV1-073BAA08B6122FF1,IS 302 (Part 2/Sec 16):2026,"Standard Number: IS 302 (Part 2/Sec 16):2026
Title: Household and Similar Electrical Appliances - Safety Part 2 Particular Requirements Section 16 Food Waste Disposers
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-9E8CA76691AB77AD,MSV1-9E8CA76691AB77AD,IS 302 (Part 2/Sec 36):2026,"Standard Number: IS 302 (Part 2/Sec 36):2026
Title: Household and Similar Electrical Appliances — Safety Part 2 Particular Requirements Section 36 Commercial Electric Cooking Ranges, Ovens, Hobs and Hob Elements
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-9568373A9402869B,MSV1-9568373A9402869B,IS 302 (Part 2/Sec 49):2026,"Standard Number: IS 302 (Part 2/Sec 49):2026
Title: Household and Similar Electrical Appliances — Safety Part 2 Particular Requirements Section 49 Commercial Electric Appliances for Keeping Food and Crockery Warm
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-4F790F6EDA5FADBE,MSV1-4F790F6EDA5FADBE,IS 302 (Part 2/Sec 54):2026,"Standard Number: IS 302 (Part 2/Sec 54):2026
Title: Household and Similar Electrical Appliances — Safety Part 2 Particular Requirements Section 54 Surface-Cleaning Appliances for Household Use Employing Liquids or Steam
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-0D3263E3039E279B,MSV1-0D3263E3039E279B,IS/ISO/IEC/IEEE 8802 (Part 1):2021,"Standard Number: IS/ISO/IEC/IEEE 8802 (Part 1):2021
Title: Telecommunications and Exchange Between Information Technology Systems Requirements for Local and Metropolitan Area Networks Part 1X: Port-Based Network Access Control First Revision
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-A9D21EFE6B4252C1,MSV1-A9D21EFE6B4252C1,IS/ISO/IEC 11179 (Part 6):2023,"Standard Number: IS/ISO/IEC 11179 (Part 6):2023
Title: Information Technology Metadata Registries MDR Part 6: Registration First Revision
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-9CFA1FE8910113D0,MSV1-9CFA1FE8910113D0,IS/ISO/IEC 14882:2024,"Standard Number: IS/ISO/IEC 14882:2024
Title: Programming languages C + + (Second Revision)
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-0C86F9F21218E54B,MSV1-0C86F9F21218E54B,IS 302 (Part 2/Sec 26):2026,"Standard Number: IS 302 (Part 2/Sec 26):2026
Title: Household and Similar Electrical Appliances —— Safety Part 2 Particular Requirements Section 26 Clocks (Second Revision)
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-7999720A6F32853F,MSV1-7999720A6F32853F,IS 7324:2026,"Standard Number: IS 7324:2026
Title: BRIX HYDROMETERS SPECIFICATION Second Revision
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-3377AE13642F3A3E,MSV1-3377AE13642F3A3E,IS 15284 (Part 1):2026,"Standard Number: IS 15284 (Part 1):2026
Title: Design and Construction for Ground Improvement — Code of Practice : Part 1 Stone Columns
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-C956F39F4CBE6C55,MSV1-C956F39F4CBE6C55,IS 15284 (Part 2):2026,"Standard Number: IS 15284 (Part 2):2026
Title: Design and Construction for Ground Improvement - Code of Practice : Part 2 Preconsolidation Using Vertical Drains
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-A9948391AE2E7355,MSV1-A9948391AE2E7355,IS 6452:2026,"Standard Number: IS 6452:2026
Title: High Alumina Cement for Structural Use - Specification (Second Revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-28E0EFBB542CB521,MSV1-28E0EFBB542CB521,IS 11233:2026,"Standard Number: IS 11233:2026
Title: Design and Construction of Foundations for Radar and Satellite Tracking Antennas, Microwave, Mobile and Television Towers — Code of Practice (First Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-06A04D781D01A2C6,MSV1-06A04D781D01A2C6,IS 17425:2026,"Standard Number: IS 17425:2026
Title: Irrigation Equipment - Quick Coupled Polyethylene Pipes and Fittings for Sprinkler Irrigation Systems - Specification (First Revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-EE967F00771BBFCC,MSV1-EE967F00771BBFCC,IS 5306:2025,"Standard Number: IS 5306:2025
Title: Sodium carboxymethyl cellulose, food grade - Specification (third revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-B34CAE2322CD0273,MSV1-B34CAE2322CD0273,IS 5867:2026,"Standard Number: IS 5867:2026
Title: Leather Board for Footwear Insole - Specification (First Revision )
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-A0F5D002CD6D8458,MSV1-A0F5D002CD6D8458,IS 7328:2026,"Standard Number: IS 7328:2026
Title: POLYETHYLENE PE MATERIAL FOR MOULDING AND EXTRUSION SPECIFICATION Third Revision
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-4E3774B3A1934884,MSV1-4E3774B3A1934884,IS 8122 (Part 2):2026,"Standard Number: IS 8122 (Part 2):2026
Title: Combine Harvester — Part 2 Test Code (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-94037F90D8E26E91,MSV1-94037F90D8E26E91,IS 8122 (Part 1):2026,"Standard Number: IS 8122 (Part 1):2026
Title: Combine Harvester - Part 1 Terminology (Second Revision)
Type: Terminology
Degree of Equivalence: Indigenous"
DOC-229DB785CAF139F3,MSV1-229DB785CAF139F3,IS 7585:2026,"Standard Number: IS 7585:2026
Title: Wines - Methods of analysis (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-38FC966A8B23DAF1,MSV1-38FC966A8B23DAF1,IS 9374:2026 P,"Standard Number: IS 9374:2026 P
Title: Flour Milling Industry – Glossary (First Revision)
Type: Terminology
Degree of Equivalence: Indigenous"
DOC-D4104E86FD409C9A,MSV1-D4104E86FD409C9A,IS 1989 (Part 1):2026,"Standard Number: IS 1989 (Part 1):2026
Title: Specification for leather safety boots and shoes: Part 1 for miners (Fifth Revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-341D8871D06A8302,MSV1-341D8871D06A8302,IS 1989 (Part 2):2026,"Standard Number: IS 1989 (Part 2):2026
Title: Specification for leather safety boots and shoes: Part 2 for heavy metal industries (Fifth Revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-306742234323BAD0,MSV1-306742234323BAD0,IS 2553 (Part 3):2026,"Standard Number: IS 2553 (Part 3):2026
Title: Safety Glass — Specification Part 3 Solar Applications (First Revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-D23D7435D3D50E05,MSV1-D23D7435D3D50E05,IS 19655 (Part 6):2026,"Standard Number: IS 19655 (Part 6):2026
Title: Handmade Paper for Certificates Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-B5CC69A422B27985,MSV1-B5CC69A422B27985,IS 19535:2026,"Standard Number: IS 19535:2026
Title: Board - Determination of puncture resistance using a pendulum device
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-545BE6EB7DCC4BB8,MSV1-545BE6EB7DCC4BB8,IS 19792:2026,"Standard Number: IS 19792:2026
Title: Pharmacovigilance Centre for Ayurveda Siddha Sowa-Rigpa Unani and Homoeopathy ( ASU & H) systems Service Requirements
Type: Service Specification
Degree of Equivalence: Indigenous"
DOC-C34C901843DA2D5A,MSV1-C34C901843DA2D5A,IS 19878:2026,"Standard Number: IS 19878:2026
Title: Metallic and Other Inorganic Coatings — Electropolishing as a Means of Smoothing and Passivating Stainless Steel
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-802357F71631AFFF,MSV1-802357F71631AFFF,IS 19885:2026,"Standard Number: IS 19885:2026
Title: Geosynthetics - Drainage Geo-composite - Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-F4FC3A7D922E676B,MSV1-F4FC3A7D922E676B,IS 19700:2026,"Standard Number: IS 19700:2026
Title: Stationery — Cutter Blades — Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-9DC23A884D902E31,MSV1-9DC23A884D902E31,IS 14452:2026,"Standard Number: IS 14452:2026
Title: Textiles — Care Labelling Code Using Symbols (third revision)
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-FA7820263D6EA9F6,MSV1-FA7820263D6EA9F6,IS 17862:2026,"Standard Number: IS 17862:2026
Title: E-Waste Management — Guidelines ( First Revision )
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-EE4D9D49A42FE982,MSV1-EE4D9D49A42FE982,IS 19884:2026,"Standard Number: IS 19884:2026
Title: Geosynthetic Clay Liner — Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-C81800F032E101C9,MSV1-C81800F032E101C9,IS 12157:2026,"Standard Number: IS 12157:2026
Title: Requirements for Construction of Work Platform of Powered Industrial Trucks (For Maintenance Purposes) (First Revision of IS 12157:1987)
Type: Others
Degree of Equivalence: Indigenous"
DOC-1FF94D72C7865560,MSV1-1FF94D72C7865560,IS/ISO 7425 (Part 2):2021,"Standard Number: IS/ISO 7425 (Part 2):2021
Title: Hydraulic fluid power cylinders — Dimensions and tolerances of housings for elastomer energized, plastic-faced seals Part 2: Rod seal housings (first revision)
Type: Terminology
Degree of Equivalence: Identical under single numbering"
DOC-0D94781525B38165,MSV1-0D94781525B38165,IS 7386:2026,"Standard Number: IS 7386:2026
Title: Reverse-taper grooved pins — Half-length progressive grooves — Specification (Third Revision)
Type: Product Specification
Degree of Equivalence: Identical under dual numbering"
DOC-94D5BDD5BB26E38C,MSV1-94D5BDD5BB26E38C,IS 16812:2026,"Standard Number: IS 16812:2026
Title: Safety of Machinery — Interlocking Devices Associated with Guards — Principles for Design and Selection (First Revision)
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-302C8184BB21228D,MSV1-302C8184BB21228D,IS 19841:2026,"Standard Number: IS 19841:2026
Title: Galvanizing Grade (GG) Zinc Alloy Ingots for Hot Dip Galvanizing of Steel — Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-0853047EBA4C2BBA,MSV1-0853047EBA4C2BBA,IS 19592:2026,"Standard Number: IS 19592:2026
Title: Gauge Block Comparator — Calibration
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-A3AD2C99F6D3B04C,MSV1-A3AD2C99F6D3B04C,IS 3346:2026,"Standard Number: IS 3346:2026
Title: Method for the Determination of Thermal Conductivity of Thermal Insulation Materials (Guarded Hot - Plate Method) (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-C09219C191CD1358,MSV1-C09219C191CD1358,IS 9357:2025,"Standard Number: IS 9357:2025
Title: Triallate, technical - Specification (first revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-6E2AC4A879DA5C3E,MSV1-6E2AC4A879DA5C3E,IS 14550:2025,"Standard Number: IS 14550:2025
Title: Hexaconazole emulsifiable concentrate (EC) - Specification (first revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-1C3D1AA19851F6FF,MSV1-1C3D1AA19851F6FF,IS 16122:2026,"Standard Number: IS 16122:2026
Title: Microbiology of the food chain — General requirements and guidance for microbiological examinations
Type: Others
Degree of Equivalence: Identical under dual numbering"
DOC-B9D1FE08BA19B57A,MSV1-B9D1FE08BA19B57A,IS 19864:2026,"Standard Number: IS 19864:2026
Title: DETERMINATION OF POLAR PESTICIDES IN RAW FOOD COMMODITIES OF PLANT ORIGIN BY LIQUID CHROMATOGRAPHY-TRIPLE QUADRUPOLE MASS SPECTROMETRY — METHOD OF TEST
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-7451C258E34A751F,MSV1-7451C258E34A751F,IS 19866:2026,"Standard Number: IS 19866:2026
Title: Estimation of Paraquat and Diquat Residues in Plant Origin Products with Acidified Methanol Using LC-MS/MS — Method of Test
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-64EB12ECDD1A95D0,MSV1-64EB12ECDD1A95D0,IS 17874 (Part 2):2026,"Standard Number: IS 17874 (Part 2):2026
Title: Glossary of Yoga Terminology - Part 2 Commonly used Terms from Gheranda Samhita
Type: Terminology
Degree of Equivalence: Indigenous"
DOC-66867C227F828F27,MSV1-66867C227F828F27,IS 17874 (Part 3):2026,"Standard Number: IS 17874 (Part 3):2026
Title: Glossary of Yoga Terminology - Part 3 Commonly Used Terms from Hatha Yoga Pradipika
Type: Terminology
Degree of Equivalence: Indigenous"
DOC-DF3ED66004F6B364,MSV1-DF3ED66004F6B364,IS 19510:2025,"Standard Number: IS 19510:2025
Title: Ametryn, technical - Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-B037D56F0ED5BAED,MSV1-B037D56F0ED5BAED,IS 19823:2026,"Standard Number: IS 19823:2026
Title: POTENTIOMETRIC DETERMINATION OF CHLORIDE IN MILK, MILK PRODUCTS AND MILK BASED NUTRITION FORMULATIONS (INFANT & ADULT) - METHOD OF TEST
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-AE53EE491FC386E3,MSV1-AE53EE491FC386E3,IS 19846:2026,"Standard Number: IS 19846:2026
Title: Heat-processed foods in hermetically sealed containers — Determination of pH
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-5BD5EE33863BBF72,MSV1-5BD5EE33863BBF72,IS 17113 (Part 7):2026,"Standard Number: IS 17113 (Part 7):2026
Title: Microbiology of the food chain — Method validation — Part 7 : Protocol for the validation of identification methods of microorganisms
Type: Others
Degree of Equivalence: Identical under dual numbering"
DOC-698C080561EB07EC,MSV1-698C080561EB07EC,IS 19844:2026,"Standard Number: IS 19844:2026
Title: Microbiology of the food chain — Polymerase chain reaction (PCR) for the detection of microorganisms — Thermal performance testing of thermal cyclers
Type: Others
Degree of Equivalence: Identical under dual numbering"
DOC-23D3C2D3A60BC824,MSV1-23D3C2D3A60BC824,IS 19843:2026,"Standard Number: IS 19843:2026
Title: Microbiology of the food chain — Detection and quantification of histamine in fish and fishery products — HPLC method
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-55A346C419609FAE,MSV1-55A346C419609FAE,IS 19859:2026,"Standard Number: IS 19859:2026
Title: Water quality — Enumeration of intestinal enterococci Most probable number method
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-01D376125BA0F557,MSV1-01D376125BA0F557,IS 19848:2026,"Standard Number: IS 19848:2026
Title: Water quality — Requirements for the comparison of the relative recovery of microorganisms by two quantitative methods
Type: Others
Degree of Equivalence: Identical under dual numbering"
DOC-D3876678EC2A0499,MSV1-D3876678EC2A0499,IS 19847:2026,"Standard Number: IS 19847:2026
Title: Water quality — Polymerase chain reaction (PCR) for the detection and quantification of microorganisms and viruses — General requirements, quality assurance and validation
Type: Others
Degree of Equivalence: Identical under dual numbering"
DOC-A92FA5B8E06BF287,MSV1-A92FA5B8E06BF287,IS 19860:2026,"Standard Number: IS 19860:2026
Title: Water Quality — Detection and Quantification of Legionella spp. and/or Legionella Pneumophila by Concentration and Genic Amplification by Quantitative Polymerase Chain Reaction (qPCR) — On-Site Methods
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-5FFC9FE2B0387F2D,MSV1-5FFC9FE2B0387F2D,IS 19845:2026,"Standard Number: IS 19845:2026
Title: Water quality — Sampling for microbiological analysis
Type: Others
Degree of Equivalence: Identical under dual numbering"
DOC-82F0E9CD35E8A931,MSV1-82F0E9CD35E8A931,IS 302 (Part 2/Sec 17):2026,"Standard Number: IS 302 (Part 2/Sec 17):2026
Title: Household and Similar Electrical Appliances — Safety Part 2 Particular Requirements Section 17 Blankets, Pads, Clothing and Similar Flexible Heating Appliances
Type: System Standard
Degree of Equivalence: Identical under dual numbering"
DOC-A7DCF70681073EAE,MSV1-A7DCF70681073EAE,IS 302 (Part 2/Sec 10):2026,"Standard Number: IS 302 (Part 2/Sec 10):2026
Title: Household and Similar Electrical Appliances — Safety Part 2 Particular Requirements Section 10 Floor Treatment Machines and Wet Scrubbing Machines
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-91EF7F4B938D71E1,MSV1-91EF7F4B938D71E1,IS 302 (Part 2/Sec 28):2026,"Standard Number: IS 302 (Part 2/Sec 28):2026
Title: Household and Similar Electrical Appliances — Safety Part 2 Particular Requirements Section 28 Sewing Machines
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-37560BE34E3558A6,MSV1-37560BE34E3558A6,IS 302 (Part 2/Sec 37):2026,"Standard Number: IS 302 (Part 2/Sec 37):2026
Title: Household and Similar Electrical Appliances — Safety Part 2 Particular Requirements Section 37 Commercial Electric Doughnut Fryers and Deep Fat Fryers
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
DOC-9A31F5182B4BEF80,MSV1-9A31F5182B4BEF80,IS 302 (Part 2/Sec 48):2026,"Standard Number: IS 302 (Part 2/Sec 48):2026
Title: Household and Similar Electrical Appliances — Safety Part 2 Particular Requirements Section 48 Commercial Electric Grillers and Toasters
Type: Safety Standard
Degree of Equivalence: Identical under dual numbering"
