term_id,technical_term,synonym,abbreviation,product_term,regional_term,language,standard_usage,source,validation_status
TERM-AFBA1A0CE1C8AF74,materials,NOT_VALIDATED,NOT_VALIDATED,materials,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-44EF74DEE5DAD564,tensile,NOT_VALIDATED,NOT_VALIDATED,tensile,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-CF80CD8AED482D5D,testing,NOT_VALIDATED,NOT_VALIDATED,testing,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-EF2D127DE37B942B,5,NOT_VALIDATED,NOT_VALIDATED,5,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-F699BFF7FFBB6D7D,miniaturised,NOT_VALIDATED,NOT_VALIDATED,miniaturised,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-9F86D081884C7D65,test,NOT_VALIDATED,NOT_VALIDATED,test,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-B6AA423DE4F79355,pieces,NOT_VALIDATED,NOT_VALIDATED,pieces,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-7C1479D5C96B4ABE,assimilative,NOT_VALIDATED,NOT_VALIDATED,assimilative,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-9736AE5E9896F6EA,carrying,NOT_VALIDATED,NOT_VALIDATED,carrying,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-EC21B3B973A3A0E7,capacity,NOT_VALIDATED,NOT_VALIDATED,capacity,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-89C08F7A02989DB8,assessment,NOT_VALIDATED,NOT_VALIDATED,assessment,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-31D18C0DEFDC3E0E,ambient,NOT_VALIDATED,NOT_VALIDATED,ambient,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-9FE430E5274621BE,air,NOT_VALIDATED,NOT_VALIDATED,air,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-DE2C2DCFF9EE57E1,pollution,NOT_VALIDATED,NOT_VALIDATED,pollution,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-F9E53EF695F2E045,methodology,NOT_VALIDATED,NOT_VALIDATED,methodology,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-1D6F04754F9F8C54,preparation,NOT_VALIDATED,NOT_VALIDATED,preparation,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-ACEF2C15BCD349DB,quality,NOT_VALIDATED,NOT_VALIDATED,quality,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-288965A1F2C883C7,management,NOT_VALIDATED,NOT_VALIDATED,management,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-64879F7D6B960A01,plan,NOT_VALIDATED,NOT_VALIDATED,plan,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-0FCD568A5CB9BDB4,control,NOT_VALIDATED,NOT_VALIDATED,control,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-75857A45899985BE,from,NOT_VALIDATED,NOT_VALIDATED,from,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-72F7C894AD6C4CE2,plastic,NOT_VALIDATED,NOT_VALIDATED,plastic,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-0BB5E9329F190A4F,waste,NOT_VALIDATED,NOT_VALIDATED,waste,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-CD82DDB78E9E4317,pyrolysis,NOT_VALIDATED,NOT_VALIDATED,pyrolysis,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-E93D59A02163F846,soil,NOT_VALIDATED,NOT_VALIDATED,soil,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-52630E4131F9862E,sampling,NOT_VALIDATED,NOT_VALIDATED,sampling,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-6B86B273FF34FCE1,1,NOT_VALIDATED,NOT_VALIDATED,1,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-0E7546ED18407142,preliminary,NOT_VALIDATED,NOT_VALIDATED,preliminary,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-D180B942F62929AC,investigations,NOT_VALIDATED,NOT_VALIDATED,investigations,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-D4735E3A265E16EE,2,NOT_VALIDATED,NOT_VALIDATED,2,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-57794BDEDDD90874,investigation,NOT_VALIDATED,NOT_VALIDATED,investigation,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-D9343D0A0097EB85,potentially,NOT_VALIDATED,NOT_VALIDATED,potentially,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-0F56EC1EBFEC5A2C,contaminated,NOT_VALIDATED,NOT_VALIDATED,contaminated,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-DB905278F90CD6F8,sites,NOT_VALIDATED,NOT_VALIDATED,sites,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-4E07408562BEDB8B,3,NOT_VALIDATED,NOT_VALIDATED,3,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-F8AAC527F9C928FC,guidance,NOT_VALIDATED,NOT_VALIDATED,guidance,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-B8D31E852725AFB1,on,NOT_VALIDATED,NOT_VALIDATED,on,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-0487C249731A7D90,procedure,NOT_VALIDATED,NOT_VALIDATED,procedure,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-12765295DB4F1E79,natural,NOT_VALIDATED,NOT_VALIDATED,natural,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-46BA34770BCCFDE7,near,NOT_VALIDATED,NOT_VALIDATED,near,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-64CC994DBBE92F48,cultivated,NOT_VALIDATED,NOT_VALIDATED,cultivated,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-8B3369944DD2A3FA,safe,NOT_VALIDATED,NOT_VALIDATED,safe,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-A3B142AF6E97CFC3,use,NOT_VALIDATED,NOT_VALIDATED,use,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-8589C63B0943A62B,maintenance,NOT_VALIDATED,NOT_VALIDATED,maintenance,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-BCEE72E6DF5D5631,non,NOT_VALIDATED,NOT_VALIDATED,non,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-5D166DD6378CA19B,calibrated,NOT_VALIDATED,NOT_VALIDATED,calibrated,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-A97B0931730E83FB,round,NOT_VALIDATED,NOT_VALIDATED,round,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-B86262F9BC892590,steel,NOT_VALIDATED,NOT_VALIDATED,steel,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-B1B1BDB480C61D07,link,NOT_VALIDATED,NOT_VALIDATED,link,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-48556459C7C157FB,lifting,NOT_VALIDATED,NOT_VALIDATED,lifting,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-264AD4C6A1169D92,chains,NOT_VALIDATED,NOT_VALIDATED,chains,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-9414886B1EBF025D,chain,NOT_VALIDATED,NOT_VALIDATED,chain,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-BBCD628C07A0E35A,household,NOT_VALIDATED,NOT_VALIDATED,household,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-CC31708DDD2E83D8,sewing,NOT_VALIDATED,NOT_VALIDATED,sewing,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-BC020A35B7F9CB13,machine,NOT_VALIDATED,NOT_VALIDATED,machine,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-864A42C4BF81BE05,stitch,NOT_VALIDATED,NOT_VALIDATED,stitch,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-4AD92A45689299FB,regulators,NOT_VALIDATED,NOT_VALIDATED,regulators,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-A7937B64B8CAA58F,first,NOT_VALIDATED,NOT_VALIDATED,first,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-2B214DDF33260165,revision,NOT_VALIDATED,NOT_VALIDATED,revision,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-DDF7FF5EBD9D66CE,arm,NOT_VALIDATED,NOT_VALIDATED,arm,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-C5052532C2206140,bed,NOT_VALIDATED,NOT_VALIDATED,bed,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-E020BDF568793DEE,assembly,NOT_VALIDATED,NOT_VALIDATED,assembly,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-5709FF28B655E825,machines,NOT_VALIDATED,NOT_VALIDATED,machines,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-5E5DF1BBCFFE1CF0,purposes,NOT_VALIDATED,NOT_VALIDATED,purposes,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-4BA3E8E3765F2970,square,NOT_VALIDATED,NOT_VALIDATED,square,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-29AFF26B44B8FD73,tins,NOT_VALIDATED,NOT_VALIDATED,tins,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-E629FA6598D73276,15,NOT_VALIDATED,NOT_VALIDATED,15,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-131ED734290D30F3,kg,NOT_VALIDATED,NOT_VALIDATED,kg,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-7175517A370B5CD2,or,NOT_VALIDATED,NOT_VALIDATED,or,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-3B2E48EC5010BC30,litre,NOT_VALIDATED,NOT_VALIDATED,litre,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-C1F2652945784F7C,ghee,NOT_VALIDATED,NOT_VALIDATED,ghee,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-E26AD67513B18A4E,vanaspati,NOT_VALIDATED,NOT_VALIDATED,vanaspati,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-60CD85012B2DBD4E,edible,NOT_VALIDATED,NOT_VALIDATED,edible,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-7FA3DB5F878A77AA,oils,NOT_VALIDATED,NOT_VALIDATED,oils,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-144AC86D05C00F55,bakery,NOT_VALIDATED,NOT_VALIDATED,bakery,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-92112272B753C88B,refractory,NOT_VALIDATED,NOT_VALIDATED,refractory,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-FB07495B94B417F5,industries,NOT_VALIDATED,NOT_VALIDATED,industries,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-DB29C78E8073C6D8,taper,NOT_VALIDATED,NOT_VALIDATED,taper,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-2059FCF1F25E5D27,grooved,NOT_VALIDATED,NOT_VALIDATED,grooved,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-150A56EEBEC8129D,pins,NOT_VALIDATED,NOT_VALIDATED,pins,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-A11AE06469C63740,half,NOT_VALIDATED,NOT_VALIDATED,half,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-0F82ACA66AF91493,length,NOT_VALIDATED,NOT_VALIDATED,length,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-B7C03E34B89E841A,progressive,NOT_VALIDATED,NOT_VALIDATED,progressive,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-13283B6FF6B4233F,grooves,NOT_VALIDATED,NOT_VALIDATED,grooves,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-B1E99324505BD32D,third,NOT_VALIDATED,NOT_VALIDATED,third,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-3FD30542FE3F61B1,mine,NOT_VALIDATED,NOT_VALIDATED,mine,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-D28514C8DA312037,haulages,NOT_VALIDATED,NOT_VALIDATED,haulages,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-D15690F08A575024,direct,NOT_VALIDATED,NOT_VALIDATED,direct,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-FE4D55B9FFA53044,rope,NOT_VALIDATED,NOT_VALIDATED,rope,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-1A6562590EF19D10,50,NOT_VALIDATED,NOT_VALIDATED,50,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-103C54B6C5B1AD28,kw,NOT_VALIDATED,NOT_VALIDATED,kw,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-9AE2BDD7BEEDC2E7,150,NOT_VALIDATED,NOT_VALIDATED,150,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-0FEAE16D55365ACF,general,NOT_VALIDATED,NOT_VALIDATED,general,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-6FB616FCECC209DB,aluminium,NOT_VALIDATED,NOT_VALIDATED,aluminium,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-14D24F98AE39D299,industry,NOT_VALIDATED,NOT_VALIDATED,industry,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-F7496F1FC9731F2E,continuous,NOT_VALIDATED,NOT_VALIDATED,continuous,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
