hard_negative_id,requirement_id,tender_id,negative_standard_id,negative_standard_number,negative_title,similarity_score,negative_reason,source,validation_status
HN-V03-000011,SYN-REQ-00006,SYN-TENDER-00006,MSV1-57287C12F1D78F52,IS 9401 (Part 1):1999,Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 1 excavation for foundation (First Revision),0.5926,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000012,SYN-REQ-00006,SYN-TENDER-00006,MSV1-B1524298717C7F6A,IS 9401 (Part 7):2013,Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 7 joints (First Revision),0.5769,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000013,SYN-REQ-00007,SYN-TENDER-00007,MSV1-39AC68A9CD7A26AD,IS 10651:2019,"Hub axle, front for moped - Specification (First Revision)",0.5714,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000014,SYN-REQ-00007,SYN-TENDER-00007,MSV1-0A9AFD85166F7728,IS 10653:2019,"Hub axle, rear, for moped - Specification (First Revision)",0.4667,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000015,SYN-REQ-00008,SYN-TENDER-00008,MSV1-6AD0C319A7D91EDB,IS 18956:2024,Lodhra (Symplocos racemosa Roxb.) Stem bark for use in Traditional Medicine Specification,0.32,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000016,SYN-REQ-00008,SYN-TENDER-00008,MSV1-6AB61EF743E6F7F7,IS 19519:2025,Sheesham Dalbergia sissoo Roxb dried Stem Bark for use in Traditional Medicine Specification,0.3077,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000017,SYN-REQ-00009,SYN-TENDER-00009,MSV1-4CDE5C39D67EEFDA,IS 14990 (Part 4):2024,"Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 4: Framework for the Specification of Evaluation Methods and Activities",0.4138,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000018,SYN-REQ-00009,SYN-TENDER-00009,MSV1-BCD9F3EEE17224A2,IS 14990 (Part 3):2024,"Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 3: Security Assurance Components (Third Revision)",0.3929,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000019,SYN-REQ-00010,SYN-TENDER-00010,MSV1-AAC57D2BF17EFD5C,IS 7016 (Part 9):2003,Methods of Test for Coated and Treated Fabrics: Part 9 Rubber- or Plastics-Coated Fabrics - Determination of Blocking Resistance (Second Revision),0.5556,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000020,SYN-REQ-00010,SYN-TENDER-00010,MSV1-98241D588FEDCF5A,IS 7016 (Part 4):2003,Methods of Test for Coated and Treated Fabrics: Part 4 Rubber- or Plastics-Coated Fabrics - Determination of Resistance to Damage by Flexing (Second Revision),0.5517,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000021,SYN-REQ-00011,SYN-TENDER-00011,MSV1-53566C4BC7E9D913,IS 975:2024,Textiles - Methods for Determination of Colour Fastness of Textile Materials to Sublimation (SECOND REVISION),0.36,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000022,SYN-REQ-00011,SYN-TENDER-00011,MSV1-E73FAD7D3F58EBE7,IS 984:2024,Textiles — Colour Fastness of Textile Materials to Washing in the Presence of Sodium Hypochlorite — Method for Determination (Second Revision),0.3448,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000023,SYN-REQ-00012,SYN-TENDER-00012,MSV1-F7A7E5BBAD152C46,IS/IEC 60512 (Part 3/Sec 1):2002,Connectors for Electronic Equipment Tests and Measurements Part 3 Insulation Tests Section 1 Test 3A: Insulation-Resistance,0.1935,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000024,SYN-REQ-00012,SYN-TENDER-00012,MSV1-267EB8A04BF8E475,IS 101 (Part 1/Sec 3):2026,Methods of Sampling and Test for Paints Varnishes and Related Products Part 1 Tests on Liquid Paints General and Physical Section 3 Preparation of Panels (Fourth Revision),0.1842,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000025,SYN-REQ-00013,SYN-TENDER-00013,MSV1-9C953BC6A83742FF,IS 10977:2025,SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),0.5385,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000026,SYN-REQ-00013,SYN-TENDER-00013,MSV1-93BE1963672E7579,IS 7619:1987,Specification for pentaerythritol (First Revision),0.3846,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000027,SYN-REQ-00014,SYN-TENDER-00014,MSV1-087B866DBA81E85E,IS 9846:2026,Textiles — Grading of Uncut Indian Mesta (First Revision),0.5333,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000028,SYN-REQ-00014,SYN-TENDER-00014,MSV1-76A7D564FA236BB6,IS 11596:2026,Textiles — Grading of Uncut Indian Bimli (First Revision),0.4375,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000029,SYN-REQ-00015,SYN-TENDER-00015,MSV1-FE5E2ECF6D21CF29,IS 5669:2019,"Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",0.5625,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000030,SYN-REQ-00015,SYN-TENDER-00015,MSV1-1679E3647B6CD1A4,IS 5932:2019,"Rolling bearings -- Thrust bearings -- Boundary dimensions, general plan (Second Revision)",0.4706,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000031,SYN-REQ-00016,SYN-TENDER-00016,MSV1-234F7C5D090BB7BE,IS/ISO/IEC 30118 (Part 16):2021,Information technology Open Connectivity Foundation OCF Specification Part 16: OCF resource to UPlus mapping specification,0.5,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000032,SYN-REQ-00016,SYN-TENDER-00016,MSV1-28D52356477E755F,IS/ISO/IEC 30118 (Part 8):2021,Information technology Open Connectivity Foundation OCF Specification Part 8: OCF resource to oneM2M resource mapping specification,0.5,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000033,SYN-REQ-00017,SYN-TENDER-00017,MSV1-D693BFD6B8182E44,IS 13456:1992,Pesticide - Pirimiphos methyl space spray specification,0.4615,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000034,SYN-REQ-00017,SYN-TENDER-00017,MSV1-7CCFE09B7D7E20D6,IS 13456:2026,Pirimiphos methyl space spray - Specification (first revision),0.3333,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000035,SYN-REQ-00018,SYN-TENDER-00018,MSV1-CD0199B1E7D492C2,IS 16887:2018,Graphical symbols - Creation and design of public information symbols - Requirements,0.5625,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000036,SYN-REQ-00018,SYN-TENDER-00018,MSV1-17F76FD4F8F4577E,IS 16449 (Part 2):2021,Graphical Symbols - Safety Colours and Safety Signs Part 2 Design Principles for Product Safety Labels,0.2609,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000037,SYN-REQ-00019,SYN-TENDER-00019,MSV1-B2E0047B60DE8996,IS 13942 (Part 2):2020,Automotive Vehicles — External Projections Part 2 Performance Requirements for Vehicles of Categories Other than M1 ( First Revision ),0.44,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000038,SYN-REQ-00019,SYN-TENDER-00019,MSV1-6BB2B23BF1DBD006,IS 13943:2017,Automotive vehicles - Wheel guards for vehicles of m1 category - Performance (First Revision),0.4091,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000039,SYN-REQ-00020,SYN-TENDER-00020,MSV1-DCF8F0E11FC55DAA,IS 17242:2019,Man Riding Chair Lift System for Transportation of Persons in Mines,0.4286,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000040,SYN-REQ-00020,SYN-TENDER-00020,MSV1-125B2DE672B73ACB,IS 4424:1967,Specification for use of timber in coal mines,0.1739,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000041,SYN-REQ-00021,SYN-TENDER-00021,MSV1-8736C70DFBF7E83F,IS 9401 (Part 4):2018,Method of measurement of works in river valley projects (dams and appurtenant structures): Part 4 Concrete work,0.4444,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000042,SYN-REQ-00021,SYN-TENDER-00021,MSV1-EEFE4A77C9E65447,IS 9401 (Part 18):2000,Method of measurement of work in river valley projects (Dams And Appurtenant Structures): Part 18 sheet pilcng,0.4444,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000043,SYN-REQ-00022,SYN-TENDER-00022,MSV1-167162C38D5C79D6,IS 15571:2005,Industrial automation glossary,0.3,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000044,SYN-REQ-00022,SYN-TENDER-00022,MSV1-8B9DF1FBFBB63154,IS/ISO 20242 (Part 1):2005,Industrial automation systems and integration - Service interface for testing applications: Part 1 overview,0.2105,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000045,SYN-REQ-00023,SYN-TENDER-00023,MSV1-C7486328BDB04795,IS/ISO 7451:2007,Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,0.2353,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000046,SYN-REQ-00023,SYN-TENDER-00023,MSV1-E4F64E54560FD8C3,IS 17055 (Part 4):2020,Earth-Moving Machinery — Safety Part 4 Requirements for Backhoe Loaders ( Second Revision ),0.2258,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000047,SYN-REQ-00024,SYN-TENDER-00024,MSV1-2983874B08754C2E,IS 19573:2026,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT CHIPPINGS SPREADERS TERMINOLOGY AND COMMERCIAL SPECIFICATIONS Adoption of ISO 15644,0.4583,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000048,SYN-REQ-00024,SYN-TENDER-00024,MSV1-37B7683600B27DF8,IS/ISO 15645:2018,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT - ROAD MILLING MACHINERY - TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15645 ),0.4583,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000049,SYN-REQ-00025,SYN-TENDER-00025,MSV1-CFBCFC071DA8AB32,IS 6869 (Part 2):1973,Specification for playgroijnd equipment for parks: Part ii horizontal bars,0.6,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000050,SYN-REQ-00025,SYN-TENDER-00025,MSV1-0DA4312342F831AD,IS 6869 (Part 3):1973,Specification for playground equipment for parks: Part 111 horizontal ladders,0.3333,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000051,SYN-REQ-00026,SYN-TENDER-00026,MSV1-55FB1F79EB65BAA6,IS 11362:1985,Head configuration and gauging of countersunk head screws,0.5,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000052,SYN-REQ-00026,SYN-TENDER-00026,MSV1-89499DEDCEB689F7,IS 6760:1972,Specification for slotted countersunk head wood screws,0.2353,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000053,SYN-REQ-00027,SYN-TENDER-00027,MSV1-A3F46B38962E88BA,IS 17517:2021,"Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",0.4615,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000054,SYN-REQ-00027,SYN-TENDER-00027,MSV1-67F4B7AF133D82B1,IS 15162:2002,Fenpropathrin emulsifiable concentrate - Specification,0.3077,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000055,SYN-REQ-00028,SYN-TENDER-00028,MSV1-870F8897A0794D19,IS/IEC/TS 60034 (Part 25):2022,Rotating electrical machines Part 25 AC electrical machines used in power drive systems - Application guide,0.2308,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000056,SYN-REQ-00028,SYN-TENDER-00028,MSV1-562F489441C11FE0,IS/IEC 60898 (Part 2):2016,Electrical accessories Circuit-breakers for overcurrent protection for household and similar installations Part 2: Circuit-breakers for AC and DC operation,0.2069,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000057,SYN-REQ-00029,SYN-TENDER-00029,MSV1-3C77D61BEDCC1676,IS 5037 (Part 1):2004,Straight bevel gears for general engineering and heavy engineering: Part 1 basic rack (First Revision),0.4583,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000058,SYN-REQ-00029,SYN-TENDER-00029,MSV1-D8CC0078D40058AD,IS 2535 (Part 2):2004,Cylindrical gears for general and heavy engineering: Part 2 module (Third Revision),0.4348,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000059,SYN-REQ-00030,SYN-TENDER-00030,MSV1-52D50ADC8BC6CF63,IS 3972 (Part 2/Sec 5):2020,Methods of Test for Vitreous Enamelware Part 2 Test Methods Section 5 Resistance to hot alkali ( Second Revision ),0.4,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000060,SYN-REQ-00030,SYN-TENDER-00030,MSV1-9A52E0D66A168B0E,IS 3972 (Part 2/Sec 4):2020,Methods of Test for Vitreous Enamelware Part 2 Test Methods Section 4 Resistance to thermal shock ( Second Revision ),0.4,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000061,SYN-REQ-00031,SYN-TENDER-00031,MSV1-FB09E8DE59382516,IS 3974:1967,Specification for bifurcated rivets for general purposes,0.5,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000062,SYN-REQ-00031,SYN-TENDER-00031,MSV1-B7BD88F957FF1A97,IS 10287:2023,Paper - Holes for General Filing Purposes - Specification,0.2667,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000063,SYN-REQ-00032,SYN-TENDER-00032,MSV1-6AB0A38FA591DFE5,IS 19416:2025,Internet of Things (loT) — Digital Twin — Use Cases,0.5333,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000064,SYN-REQ-00032,SYN-TENDER-00032,MSV1-1F69AA481397C92A,IS/ISO/IEC/TR 22417:2017,Information Technology Internet of Things ( IOT ) IOT Use Cases,0.2778,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000065,SYN-REQ-00033,SYN-TENDER-00033,MSV1-ACA33D17049B7DDB,IS 17984 (Part 4):2024,Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,0.6111,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000066,SYN-REQ-00033,SYN-TENDER-00033,MSV1-9F67A9F890F3B703,IS 17984 (Part 1):2024,Industrial furnaces and associated processing equipment - Safety - Part 1: General requirements,0.381,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000067,SYN-REQ-00034,SYN-TENDER-00034,MSV1-16D15904229745DD,IS 1013:2025,"Triple superphosphate, fertilizer grade - Specification (Second Revision)",0.5,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000068,SYN-REQ-00034,SYN-TENDER-00034,MSV1-2403E9BAC10ACFCA,IS 5406:2024,"Urea, Fertilizer Grade — Specification (Second Revision)",0.3333,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000069,SYN-REQ-00035,SYN-TENDER-00035,MSV1-44DE411809B7A2D1,IS 14644 (Part 8):2000,Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 8 determination of silicon content,0.5217,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000070,SYN-REQ-00035,SYN-TENDER-00035,MSV1-9C89C522B312AC58,IS 14644 (Part 9):2000,Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 9 determination of vanadium content,0.5217,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000071,SYN-REQ-00036,SYN-TENDER-00036,MSV1-9E544C282701D83C,IS/ISO 1039:1995,CINEMATOGRAPHY - CORES FOR MOTION-PICTURE AND MAGNETIC FILM ROLLS DIMENSIONS ADOPTION OF ISO 1039: 1995,0.303,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000072,SYN-REQ-00036,SYN-TENDER-00036,MSV1-E8FAE69A4BCC4FBD,IS/ISO 69:1998,CINEMATOGRAPHY 16 MM MOTION-PICTURE AND MAGNETIC FILM CUTTING AND PERFORATING DIMENSIONS,0.2581,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000073,SYN-REQ-00037,SYN-TENDER-00037,MSV1-C781CFCFCE314A39,IS/IEC 60068 (Part 3/Sec 4):2023,Environmental testing Part 3 Supporting documentation and guidance Section - 4: Damp heat tests First Revision,0.44,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000074,SYN-REQ-00037,SYN-TENDER-00037,MSV1-BA9BFF28F6859CD9,IS/IEC 60068 (Part 2/Sec 2):2007,Environmental Testing Part 2: Tests - Test B Section 2: Dry Heat,0.2917,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000075,SYN-REQ-00038,SYN-TENDER-00038,MSV1-D63F542EE2156E0B,IS 8560:1977,Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),0.6471,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000076,SYN-REQ-00038,SYN-TENDER-00038,MSV1-444E2C2E90DF7986,IS 8514:1977,Specification for aluminium alloy wire for cold forged rivets for aircraft purposes (Alloy 24530),0.3333,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000077,SYN-REQ-00039,SYN-TENDER-00039,MSV1-4455E8D32414E939,IS 13990:1994,Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,0.625,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000078,SYN-REQ-00039,SYN-TENDER-00039,MSV1-52AB82AC10D7ACE1,IS 14143:1994,Prefabricated Brick Panel And Partially Precast Concrete Joist For Flooring And Roofing,0.35,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000079,SYN-REQ-00040,SYN-TENDER-00040,MSV1-CC0EF6BFF04FBA78,IS 10233:1982,Specification for Tractor - Operated Disc Ploughs,0.5,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
