recommendation_id,query_id,standard_id,rank,evidence_type,evidence_text,source,validation_status
REC-3DED748C4C882B4E,SYN-REQ-00028,MSV1-7AD8E37548E77299,1,TITLE_GROUNDED_MATCH,Query template directly names: Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-E0BA01FE41851C28,SYN-REQ-00029,MSV1-51142D426ACE3C48,1,TITLE_GROUNDED_MATCH,Query template directly names: Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-972675CAD2C56272,SYN-REQ-00030,MSV1-002B732AF92D3836,1,TITLE_GROUNDED_MATCH,Query template directly names: Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-C23788D3285FD02C,SYN-REQ-00031,MSV1-FB09E8DE59382516,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for bifurcated rivets for general purposes,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-A003B846E7C58454,SYN-REQ-00032,MSV1-6AB0A38FA591DFE5,1,TITLE_GROUNDED_MATCH,Query template directly names: Internet of Things (loT) — Digital Twin — Use Cases,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-026AC794C5974345,SYN-REQ-00033,MSV1-ACA33D17049B7DDB,1,TITLE_GROUNDED_MATCH,Query template directly names: Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-2D35E76564BF5BAA,SYN-REQ-00034,MSV1-16D15904229745DD,1,TITLE_GROUNDED_MATCH,"Query template directly names: Triple superphosphate, fertilizer grade - Specification (Second Revision)",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-AB2D388F93FE7080,SYN-REQ-00035,MSV1-B81BC870E55EBFFF,1,TITLE_GROUNDED_MATCH,Query template directly names: Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-FAC468FDD12589D7,SYN-REQ-00036,MSV1-5AAEFBBBB093A70E,1,TITLE_GROUNDED_MATCH,Query template directly names: CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-2FE0F6ACA8DBBE4F,SYN-REQ-00037,MSV1-C04F07EF31F1FEAC,1,TITLE_GROUNDED_MATCH,Query template directly names: Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-7BA716ADF85D34F2,SYN-REQ-00038,MSV1-D63F542EE2156E0B,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-3B1676A5770068AA,SYN-REQ-00039,MSV1-4455E8D32414E939,1,TITLE_GROUNDED_MATCH,Query template directly names: Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-4B1010A0626FB662,SYN-REQ-00040,MSV1-CC0EF6BFF04FBA78,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for Tractor - Operated Disc Ploughs,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-BBFDAC74FF347847,SYN-REQ-00041,MSV1-F5A117CFA6A89A52,1,TITLE_GROUNDED_MATCH,Query template directly names: Light basic magnesium carbonate - Specification (Second Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-B833B715EF8997D3,SYN-REQ-00042,MSV1-20F980C6DE18EADC,1,TITLE_GROUNDED_MATCH,Query template directly names: Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-1DBE88E90451F78C,SYN-REQ-00043,MSV1-D3BC74D77ED0F4F7,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for static invertors for aircrafts,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-356AECAE2A3E52E9,SYN-REQ-00044,MSV1-9BB274D7418FE7C4,1,TITLE_GROUNDED_MATCH,Query template directly names: Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-5B5E5FE9139E8A38,SYN-REQ-00045,MSV1-E1A095C2E653AF03,1,TITLE_GROUNDED_MATCH,Query template directly names: Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-5B3C9DCA1CFEDC00,SYN-REQ-00046,MSV1-D87E95A582F73F7A,1,TITLE_GROUNDED_MATCH,Query template directly names: Brass Anodes for Electroplating Specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-DBF0FB4D6CE1BC11,SYN-REQ-00047,MSV1-1BA4FB281572E84A,1,TITLE_GROUNDED_MATCH,Query template directly names: Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-98B36D16E5E3A9C3,SYN-REQ-00048,MSV1-4987A2E27DA3EC13,1,TITLE_GROUNDED_MATCH,Query template directly names: TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-3B9FCE51DAE32792,SYN-REQ-00049,MSV1-15A921B8AB460D19,1,TITLE_GROUNDED_MATCH,Query template directly names: Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-A574B20B8FC30859,SYN-REQ-00050,MSV1-F34930B4433C6EFD,1,TITLE_GROUNDED_MATCH,Query template directly names: INDIAN CLUBS - SPECIFICATION,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-F152E256CA27DCAE,SYN-REQ-00051,MSV1-181DA99A9755CF77,1,TITLE_GROUNDED_MATCH,Query template directly names: Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-8A4810D0E23E92A6,SYN-REQ-00052,MSV1-216B2AD022A6DB82,1,TITLE_GROUNDED_MATCH,Query template directly names: Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-B173ACCBCB71811D,SYN-REQ-00053,MSV1-62876DA4B309C62E,1,TITLE_GROUNDED_MATCH,Query template directly names: Software engineering Guidelines for the application of ISO 9001:2008 to computer software,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-4FC3A51C88CD91F0,SYN-REQ-00054,MSV1-159215E002571816,1,TITLE_GROUNDED_MATCH,Query template directly names: Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-EEA210E113124B97,SYN-REQ-00055,MSV1-AC36832ABD6F44F0,1,TITLE_GROUNDED_MATCH,Query template directly names: Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-9CF164611E26711F,SYN-REQ-00056,MSV1-D58636B0F249EF5F,1,TITLE_GROUNDED_MATCH,Query template directly names: Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-850CC5A39BEC308B,SYN-REQ-00057,MSV1-C9FA447378271B49,1,TITLE_GROUNDED_MATCH,Query template directly names: Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-9147B8C5F654EB2C,SYN-REQ-00058,MSV1-1924A37A30C5BED4,1,TITLE_GROUNDED_MATCH,Query template directly names: SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-321734828A41622B,SYN-REQ-00059,MSV1-4D531161A2CAE000,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-79EAF68BF3AE2605,SYN-REQ-00060,MSV1-10E0D11BAB6B0242,1,TITLE_GROUNDED_MATCH,"Query template directly names: Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-DA20383AFE96212F,SYN-REQ-00061,MSV1-FB0D6C55631DCD07,1,TITLE_GROUNDED_MATCH,Query template directly names: Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-53D0047BAF3CDD99,SYN-REQ-00062,MSV1-C7486328BDB04795,1,TITLE_GROUNDED_MATCH,Query template directly names: Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-B73031DE7A41BA47,SYN-REQ-00063,MSV1-32775E6D176E9B52,1,TITLE_GROUNDED_MATCH,Query template directly names: Piston - Operated volumetric apparatus: Part 2 piston pipettes,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-42DB8B544FD39623,SYN-REQ-00064,MSV1-3EE6E6CEFBBBAA43,1,TITLE_GROUNDED_MATCH,Query template directly names: SODIUM CARBONATE ANHYDROUS SPECIFICATION,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-BBF123F05096F889,SYN-REQ-00065,MSV1-C28B849A19335353,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for rot-proofed cotton tapes for aerospace purposes (first revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-E88494F69AAD52EF,SYN-REQ-00066,MSV1-F8585B27B64E0DB6,1,TITLE_GROUNDED_MATCH,Query template directly names: Dissolved Acetylene (Gas) — Specification (Fourth Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-3B5A87290A265A44,SYN-REQ-00067,MSV1-1D5C8ACDBD469023,1,TITLE_GROUNDED_MATCH,Query template directly names: Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-D47D476CDA752C28,SYN-REQ-00068,MSV1-EBF0E53E3B7C8421,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-9B4F9A7660D68832,SYN-REQ-00069,MSV1-4A907C376C1FEC4E,1,TITLE_GROUNDED_MATCH,Query template directly names: Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-801C5F0E6C5221B3,SYN-REQ-00070,MSV1-2FB8896FE57FF286,1,TITLE_GROUNDED_MATCH,Query template directly names: Accuracy trueness and precision of measurement methods and results -- Part 2: Basic method for the determination of repeatability and reproducibility of a standard measurement method,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-D07FCBABFE0725B7,SYN-REQ-00071,MSV1-D77B00FB118D1847,1,TITLE_GROUNDED_MATCH,Query template directly names: Boxes and Enclosures for Electrical Accessories for Household and Similar Fixed Electrical Installations — General Requirements ( First Revision ),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-DBA6A3ECF177BB5E,SYN-REQ-00072,MSV1-F121E152DF098C26,1,TITLE_GROUNDED_MATCH,Query template directly names: Oxygen Compressed Gas and Liquid-Specification (Fifth Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-D99B0689AFA56E65,SYN-REQ-00073,MSV1-4457FE82AC4343B7,1,TITLE_GROUNDED_MATCH,Query template directly names: Forestry Tools - Wooden Filing Vice - Specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-7177E9ED050B23DE,SYN-REQ-00074,MSV1-EFE1C0A28FBC9938,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for caulking mallets,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-FE87BF0FE5DA405A,SYN-REQ-00075,MSV1-36E2896A8F6DBE9A,1,TITLE_GROUNDED_MATCH,"Query template directly names: Solid mineral fuels - Determination of total carbon, hydrogen and nitrogen content - Instrumental method",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-25FE1BE1EB5DB04E,SYN-REQ-00076,MSV1-C3E775C5D3C0B676,1,TITLE_GROUNDED_MATCH,"Query template directly names: Specification for linseed oil, raw and refined (Second Revision)",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-F8310B75121731CE,SYN-REQ-00077,MSV1-BD68203A8B808BEF,1,TITLE_GROUNDED_MATCH,Query template directly names: Thermoplastics Hoses (Textile Reinforced) for Compressed Air — Specification (Second Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-C5060DD26E1F0F02,SYN-REQ-00078,MSV1-711F12AA4D3185FF,1,TITLE_GROUNDED_MATCH,"Query template directly names: General requirements for steel drop, upset and press forgings",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-BC7D9151D7320AEA,SYN-REQ-00079,MSV1-05217E36FAA07E48,1,TITLE_GROUNDED_MATCH,Query template directly names: Face milling cutters with indexable inserts -- Dimensions,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-2054DD4823BE53AC,SYN-REQ-00080,MSV1-4FA6BEE58C0361E0,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for burner pliers,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-2BFB271A88EB54A7,SYN-REQ-00081,MSV1-0ED0AEEAA160C0F3,1,TITLE_GROUNDED_MATCH,Query template directly names: Code of practice for corrosion protection of steel reinforcement in RB and RCC construction,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-6683D1FC9892BFEC,SYN-REQ-00082,MSV1-F2B8C81D9651D8C4,1,TITLE_GROUNDED_MATCH,Query template directly names: Identification cards Physical characteristics,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-89D609F2E83068F6,SYN-REQ-00083,MSV1-98C79E65FCA9B896,1,TITLE_GROUNDED_MATCH,Query template directly names: Spectrometric analysis of cast iron by direct reading optical emission vacuum spectrometer - Point to plane technique,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-B65608063BA4D289,SYN-REQ-00084,MSV1-68B6BF273A128C63,1,TITLE_GROUNDED_MATCH,Query template directly names: Code of practice for handling and storage of bagged fertilizers (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-398EF2DD861897F2,SYN-REQ-00085,MSV1-3207589E6CC7265D,1,TITLE_GROUNDED_MATCH,Query template directly names: Code of Practice for Natural Ventilaltion of Residential Buildings (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-B6F473BB2043A172,SYN-REQ-00086,MSV1-E079F3EE43F25F44,1,TITLE_GROUNDED_MATCH,Query template directly names: Methods of Measurements on Cathode - Ray Oscilloscope (Dc to 10 Mc/s),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-0A08B0B8C54C7C98,SYN-REQ-00087,MSV1-963CBAE1082EA5A5,1,TITLE_GROUNDED_MATCH,Query template directly names: Cotton Seed Delinting Machinery — HCL Gas Generation Unit — Specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-C4DDC0901381BB97,SYN-REQ-00088,MSV1-E1F727A5B35B6642,1,TITLE_GROUNDED_MATCH,Query template directly names: Tin or tin - Lead coated copper wire - Specificaiton (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-3040A3A6899BC3FD,SYN-REQ-00089,MSV1-8C5F266A8D69B02F,1,TITLE_GROUNDED_MATCH,Query template directly names: Methods of tests for animal feeds and feeding stuffs: Part 1 general methods,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-AA59623F25D39637,SYN-REQ-00090,MSV1-EAE3AFA1E85EB80E,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for wirebound wooden boxes,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-AA6C57B0EADA2004,SYN-REQ-00091,MSV1-EE90A0D9E44D291B,1,TITLE_GROUNDED_MATCH,Query template directly names: Interpreting services Legal interpreting Requirements,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-7E23944488AE5542,SYN-REQ-00092,MSV1-F6953CFBD86883DB,1,TITLE_GROUNDED_MATCH,"Query template directly names: Textiles - Light Weight Jute Sacking Bags for Packing 50 kg Mustard Seed, Niger Seed and Ragi - Specification",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-DCF115B426C81BA6,SYN-REQ-00093,MSV1-A2FB31A5B98B8AA1,1,TITLE_GROUNDED_MATCH,Query template directly names: Ophthalmic optics - Uncut finished spectacle lenses: Part 5 minimum requirements for spectacle lens surfaces claimed to be abrasion - Resistant,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-2B9C49065B5787F8,SYN-REQ-00094,MSV1-DD923D9519598E49,1,TITLE_GROUNDED_MATCH,"Query template directly names: Acetamiprid, SP - Specification",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-9DE189E3A6B2A3B3,SYN-REQ-00095,MSV1-0C870B59777C045A,1,TITLE_GROUNDED_MATCH,Query template directly names: Internal Combustion Engines - Piston Rings - Oil Control Rings,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-D139B9AE260DF5A1,SYN-REQ-00096,MSV1-EEEA61349762B9AD,1,TITLE_GROUNDED_MATCH,Query template directly names: INEDIBLE OFFALS TROLLEY SPECIFICATION First Revision of IS 7891,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-BF20AFA4082E3AA4,SYN-REQ-00097,MSV1-50C6E265D848766B,1,TITLE_GROUNDED_MATCH,Query template directly names: Glossary of terms relating to alcohol (ethyl) industry and trade,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-94094FD34948A963,SYN-REQ-00098,MSV1-E21CD74B38CBABAD,1,TITLE_GROUNDED_MATCH,Query template directly names: Implants for surgery - Metallic materials Part 14 Wrought titanium 15-molybdenum 5-zirconium 3-aluminium alloy,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-31C5CC3287F46868,SYN-REQ-00099,MSV1-3B294176B4915696,1,TITLE_GROUNDED_MATCH,Query template directly names: Optics and Photonics - Optional Transfer Function - Application Part 1 Interchangeable Lenses for 35 mm Still Cameras,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
