trace_id,query_id,stage,input_json,output_json,validation_status
TRACE-7E31C161418EBC9A,SYN-REQ-00083,SYNTHETIC_DATA_GENERATION,"{""title"": ""Spectrometric analysis of cast iron by direct reading optical emission vacuum spectrometer - Point to plane technique""}","{""standard_id"": ""MSV1-98C79E65FCA9B896""}",SYNTHETIC
TRACE-3A47DC33F14004E2,SYN-REQ-00084,SYNTHETIC_DATA_GENERATION,"{""title"": ""Code of practice for handling and storage of bagged fertilizers (First Revision)""}","{""standard_id"": ""MSV1-68B6BF273A128C63""}",SYNTHETIC
TRACE-C4D50A4BE351706D,SYN-REQ-00085,SYNTHETIC_DATA_GENERATION,"{""title"": ""Code of Practice for Natural Ventilaltion of Residential Buildings (First Revision)""}","{""standard_id"": ""MSV1-3207589E6CC7265D""}",SYNTHETIC
TRACE-CC6596158433BCDF,SYN-REQ-00086,SYNTHETIC_DATA_GENERATION,"{""title"": ""Methods of Measurements on Cathode - Ray Oscilloscope (Dc to 10 Mc/s)""}","{""standard_id"": ""MSV1-E079F3EE43F25F44""}",SYNTHETIC
TRACE-04BA61B09243A28C,SYN-REQ-00087,SYNTHETIC_DATA_GENERATION,"{""title"": ""Cotton Seed Delinting Machinery \u2014 HCL Gas Generation Unit \u2014 Specification""}","{""standard_id"": ""MSV1-963CBAE1082EA5A5""}",SYNTHETIC
TRACE-E01B9702BF208F58,SYN-REQ-00088,SYNTHETIC_DATA_GENERATION,"{""title"": ""Tin or tin - Lead coated copper wire - Specificaiton (First Revision)""}","{""standard_id"": ""MSV1-E1F727A5B35B6642""}",SYNTHETIC
TRACE-D0B37E65AB3C3760,SYN-REQ-00089,SYNTHETIC_DATA_GENERATION,"{""title"": ""Methods of tests for animal feeds and feeding stuffs: Part 1 general methods""}","{""standard_id"": ""MSV1-8C5F266A8D69B02F""}",SYNTHETIC
TRACE-C69D71A4396BA394,SYN-REQ-00090,SYNTHETIC_DATA_GENERATION,"{""title"": ""Specification for wirebound wooden boxes""}","{""standard_id"": ""MSV1-EAE3AFA1E85EB80E""}",SYNTHETIC
TRACE-F4FACDD981167F50,SYN-REQ-00091,SYNTHETIC_DATA_GENERATION,"{""title"": ""Interpreting services Legal interpreting Requirements""}","{""standard_id"": ""MSV1-EE90A0D9E44D291B""}",SYNTHETIC
TRACE-49B09D1D125C662E,SYN-REQ-00092,SYNTHETIC_DATA_GENERATION,"{""title"": ""Textiles - Light Weight Jute Sacking Bags for Packing 50 kg Mustard Seed, Niger Seed and Ragi - Specification""}","{""standard_id"": ""MSV1-F6953CFBD86883DB""}",SYNTHETIC
TRACE-97FAAF437016A782,SYN-REQ-00093,SYNTHETIC_DATA_GENERATION,"{""title"": ""Ophthalmic optics - Uncut finished spectacle lenses: Part 5 minimum requirements for spectacle lens surfaces claimed to be abrasion - Resistant""}","{""standard_id"": ""MSV1-A2FB31A5B98B8AA1""}",SYNTHETIC
TRACE-032B9BAC8FAD5692,SYN-REQ-00094,SYNTHETIC_DATA_GENERATION,"{""title"": ""Acetamiprid, SP - Specification""}","{""standard_id"": ""MSV1-DD923D9519598E49""}",SYNTHETIC
TRACE-5532198D89B65C1B,SYN-REQ-00095,SYNTHETIC_DATA_GENERATION,"{""title"": ""Internal Combustion Engines - Piston Rings - Oil Control Rings""}","{""standard_id"": ""MSV1-0C870B59777C045A""}",SYNTHETIC
TRACE-4154A95A1C747495,SYN-REQ-00096,SYNTHETIC_DATA_GENERATION,"{""title"": ""INEDIBLE OFFALS TROLLEY SPECIFICATION First Revision of IS 7891""}","{""standard_id"": ""MSV1-EEEA61349762B9AD""}",SYNTHETIC
TRACE-CD98BF1A58B09CDB,SYN-REQ-00097,SYNTHETIC_DATA_GENERATION,"{""title"": ""Glossary of terms relating to alcohol (ethyl) industry and trade""}","{""standard_id"": ""MSV1-50C6E265D848766B""}",SYNTHETIC
TRACE-2D36652EB32FA8CB,SYN-REQ-00098,SYNTHETIC_DATA_GENERATION,"{""title"": ""Implants for surgery - Metallic materials Part 14 Wrought titanium 15-molybdenum 5-zirconium 3-aluminium alloy""}","{""standard_id"": ""MSV1-E21CD74B38CBABAD""}",SYNTHETIC
TRACE-DB856D89A1B629E6,SYN-REQ-00099,SYNTHETIC_DATA_GENERATION,"{""title"": ""Optics and Photonics - Optional Transfer Function - Application Part 1 Interchangeable Lenses for 35 mm Still Cameras""}","{""standard_id"": ""MSV1-3B294176B4915696""}",SYNTHETIC
TRACE-E467EC47F865AF09,SYN-REQ-00100,SYNTHETIC_DATA_GENERATION,"{""title"": ""Rubber seals - Joint rings for water supply, drainage and sewerage pipelines - Specification for materials (Second Revision)""}","{""standard_id"": ""MSV1-7ECD94DD25A51E39""}",SYNTHETIC
TRACE-E1505F89926EF81E,SYN-REQ-00101,SYNTHETIC_DATA_GENERATION,"{""title"": ""Identification cards Identification of issuers Part 1: Numbering system""}","{""standard_id"": ""MSV1-318E7EA7018451CF""}",SYNTHETIC
TRACE-326600D5646F2781,SYN-REQ-00102,SYNTHETIC_DATA_GENERATION,"{""title"": ""DOMESTIC GAS STOVES AND BUILT IN HOB FOR USE WITH PNG SPECIFICATION (First Revision of IS 17153)""}","{""standard_id"": ""MSV1-CCD754723D09D544""}",SYNTHETIC
TRACE-3E1C406BB8D5921C,SYN-REQ-00103,SYNTHETIC_DATA_GENERATION,"{""title"": ""General requirements for riders for buckets used in shaft sinking opeiRations in mines""}","{""standard_id"": ""MSV1-1C3EEAAF6AF39E6D""}",SYNTHETIC
TRACE-20EADEDC97D6FA04,SYN-REQ-00104,SYNTHETIC_DATA_GENERATION,"{""title"": ""Guide to terotechnology (The Economic Management Of Assets): Part 3 guide to the available techniques""}","{""standard_id"": ""MSV1-C9DD6A75C3062D38""}",SYNTHETIC
