translation_id,source_text,translated_text,source_language,target_language,translation_type,source,validation_status
TR-4A44DC15364204A8,Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-4FC82B26AECB47D2,"Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-6B51D431DF5D7F14,SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-3FDBA35F04DC8C46,Textiles — Grading of Uncut Indian Mesta (First Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-8527A891E2241369,"Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-E629FA6598D73276,Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-B17EF6D19C7A5B1E,Pesticide - Pirimiphos methyl space spray specification,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-4523540F1504CD17,Graphical symbols - Creation and design of public information symbols - Requirements,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-4EC9599FC203D176,Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-9400F1B21CB527D7,Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-F5CA38F748A1D6EA,METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-6F4B6612125FB3A0,Industrial automation glossary,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-785F3EC7EB32F30B,Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-535FA30D7E25DD8A,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-C2356069E9D1E79C,Specification for playgroijnd equipment for parks: Part ii horizontal bars,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-B7A56873CD771F2C,Head configuration and gauging of countersunk head screws,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-5F9C4AB08CAC7457,"Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-670671CD97404156,Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-59E19706D51D39F6,Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-35135AAA6CC23891,Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-624B60C58C9D8BFB,Specification for bifurcated rivets for general purposes,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-EB1E33E8A81B697B,Internet of Things (loT) — Digital Twin — Use Cases,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-E29C9C180C6279B0,Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-C6F3AC57944A5314,"Triple superphosphate, fertilizer grade - Specification (Second Revision)",NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-86E5014965866131,Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-9F14025AF0065B30,CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-76A50887D8F1C2E9,Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-7A61B53701BEFDAE,Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-AEA92132C4CBEB26,Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-0B918943DF0962BC,Specification for Tractor - Operated Disc Ploughs,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-D59ECED1DED07F84,Light basic magnesium carbonate - Specification (Second Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-3D914F9348C9CC0F,Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-73475CB40A568E8D,Specification for static invertors for aircrafts,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-44CB730C420480A0,Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-71EE45A3C0DB9A98,Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-811786AD1AE74ADF,Brass Anodes for Electroplating Specification,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-25FC0E7096FC6537,Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-31489056E0916D59,TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-98010BD9270F9B10,Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-0E17DACA5F3E175F,INDIAN CLUBS - SPECIFICATION,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-1A6562590EF19D10,Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-031B4AF5197EC30A,Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-41CFC0D1F2D127B0,Software engineering Guidelines for the application of ISO 9001:2008 to computer software,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-2858DCD1057D3EAE,Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-2FCA346DB6561871,Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-02D20BBD7E394AD5,Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-7688B6EF52555962,Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-C837649CCE43F272,SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-6208EF0F7750C111,Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-3E1E967E9B793E90,"Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests",NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-39FA9EC190EEE7B6,Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-D029FA3A95E174A1,Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-81B8A03F97E8787C,Piston - Operated volumetric apparatus: Part 2 piston pipettes,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-DA4EA2A5506F2693,SODIUM CARBONATE ANHYDROUS SPECIFICATION,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-A68B412C4282555F,Specification for rot-proofed cotton tapes for aerospace purposes (first revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-108C995B953C8A35,Dissolved Acetylene (Gas) — Specification (Fourth Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-3ADA92F28B4CEDA3,Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-49D180ECF5613281,Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-A21855DA08CB102D,Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-C75CB66AE28D8EBC,Accuracy trueness and precision of measurement methods and results -- Part 2: Basic method for the determination of repeatability and reproducibility of a standard measurement method,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-FF5A1AE012AFA5D4,Boxes and Enclosures for Electrical Accessories for Household and Similar Fixed Electrical Installations — General Requirements ( First Revision ),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-7F2253D7E228B22A,Oxygen Compressed Gas and Liquid-Specification (Fifth Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-8722616204217EDD,Forestry Tools - Wooden Filing Vice - Specification,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-96061E92F58E4BDC,Specification for caulking mallets,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-EB624DBE56EB6620,"Solid mineral fuels - Determination of total carbon, hydrogen and nitrogen content - Instrumental method",NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-F369CB89FC627E66,"Specification for linseed oil, raw and refined (Second Revision)",NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-F74EFABEF12EA619,Thermoplastics Hoses (Textile Reinforced) for Compressed Air — Specification (Second Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-A88A7902CB4EF697,"General requirements for steel drop, upset and press forgings",NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-349C41201B62DB85,Face milling cutters with indexable inserts -- Dimensions,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-98A3AB7C340E8A03,Specification for burner pliers,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-48449A14A4FF7D79,Code of practice for corrosion protection of steel reinforcement in RB and RCC construction,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-5316CA1C5DDCA8E6,Identification cards Physical characteristics,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-A46E37632FA6CA51,Spectrometric analysis of cast iron by direct reading optical emission vacuum spectrometer - Point to plane technique,NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
TR-BBB965AB0C80D653,Code of practice for handling and storage of bagged fertilizers (First Revision),NOT_MACHINE_TRANSLATED_IN_THIS_BUILD,English,MULTILINGUAL_SCHEMA,NOT_AVAILABLE,NO_TRANSLATION_ENGINE_USED,NEEDS_TRANSLATION_OR_HUMAN_VALIDATION
