entity_id,requirement_id,entity_text,entity_type,normalized_value,source,validation_status
PE-F825D7B49D0EA7B7,SYN-REQ-00016,Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,PRODUCT_OR_SUBJECT,information technology open connectivity foundation ocf specification part 6 resource to alljoyn interface mapping specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-CC3026A958643BA8,SYN-REQ-00017,Pesticide - Pirimiphos methyl space spray specification,PRODUCT_OR_SUBJECT,pesticide pirimiphos methyl space spray specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-92A11FA189EFAE87,SYN-REQ-00018,Graphical symbols - Creation and design of public information symbols - Requirements,PRODUCT_OR_SUBJECT,graphical symbols creation and design of public information symbols requirements,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-8098945990342E52,SYN-REQ-00019,Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),PRODUCT_OR_SUBJECT,automotive vehicles external projection part 1 performance requirements for m1 category of vehicles first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-2788FBC1B5158139,SYN-REQ-00020,Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,PRODUCT_OR_SUBJECT,man riding car by rope haulage system for transportation of persons in mines,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-4371CBC89C1CF449,SYN-REQ-00021,METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,PRODUCT_OR_SUBJECT,methods of measurement of work in river valley projects dams and appurtenant structures part 12 topographical surveys,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-5B702DAB5BF33521,SYN-REQ-00022,Industrial automation glossary,PRODUCT_OR_SUBJECT,industrial automation glossary,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-D4BAB5124FACA92A,SYN-REQ-00023,Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,PRODUCT_OR_SUBJECT,earth moving machinery loaders and backhoe loaders part 1 calculation of rated operating capacity and test method for verifying calculated tipping load,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-DAD8EEECBACDD504,SYN-REQ-00024,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),PRODUCT_OR_SUBJECT,road construction and maintenance equipment soil stabilizers terminology and commercial specifications adoption of iso 15688,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-F9FFA86EF4B53EAA,SYN-REQ-00025,Specification for playgroijnd equipment for parks: Part ii horizontal bars,PRODUCT_OR_SUBJECT,specification for playgroijnd equipment for parks part ii horizontal bars,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-9EB9DECF719419C7,SYN-REQ-00026,Head configuration and gauging of countersunk head screws,PRODUCT_OR_SUBJECT,head configuration and gauging of countersunk head screws,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-8B66A421595F7242,SYN-REQ-00027,"Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",PRODUCT_OR_SUBJECT,pyriproxyfen fenpropathrin emulsifiable concentrate ec specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-EBFC528B9F47AB9A,SYN-REQ-00028,Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,PRODUCT_OR_SUBJECT,application guide for electrical relays for ac systems part i overcurrent relays for feeders and transformers,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-AFFE5911A1E59BC7,SYN-REQ-00029,Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),PRODUCT_OR_SUBJECT,straight bevel gears for general engineering and heavy engineering part 2 module and diametral pitches first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-6F8E5471C1C99663,SYN-REQ-00030,Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),PRODUCT_OR_SUBJECT,vitreous enamelware method of test part 2 test methods section 2 low and high voltage tests for detecting and locating defects second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-2E5DDA9595003EAE,SYN-REQ-00031,Specification for bifurcated rivets for general purposes,PRODUCT_OR_SUBJECT,specification for bifurcated rivets for general purposes,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-57465DA92FF7F00E,SYN-REQ-00032,Internet of Things (loT) — Digital Twin — Use Cases,PRODUCT_OR_SUBJECT,internet of things lot digital twin use cases,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-2062B0BEDDEA2A1F,SYN-REQ-00033,Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,PRODUCT_OR_SUBJECT,industrial furnaces and associated processing equipment safety part 4 protective systems,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-0440076EBB5E6B1B,SYN-REQ-00034,"Triple superphosphate, fertilizer grade - Specification (Second Revision)",PRODUCT_OR_SUBJECT,triple superphosphate fertilizer grade specification second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-624C45660A45D742,SYN-REQ-00035,Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,PRODUCT_OR_SUBJECT,nickel alloys flame atomic absorption spectrometric analysis method part 7 determination of aluminium content,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-65924614D6DADBF5,SYN-REQ-00036,CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,PRODUCT_OR_SUBJECT,cinematography 16 mm negative photographic sound record on 16 mm 3516 mm and 3532 mm motion picture film positions and dimensions adoption of iso 71 2014,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-53F42ABF481A0CDE,SYN-REQ-00037,Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,PRODUCT_OR_SUBJECT,environmental testing part 3 supporting documentation and guidance section 1 cold and dry heat tests,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-EF4009DFD7E9BFED,SYN-REQ-00038,Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),PRODUCT_OR_SUBJECT,specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes alloy 24530,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-AB9DF0D29D5150BA,SYN-REQ-00039,Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,PRODUCT_OR_SUBJECT,precast reinforced concrete planks and joist for roofing and flooring specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-94B1CDB07E9891B2,SYN-REQ-00040,Specification for Tractor - Operated Disc Ploughs,PRODUCT_OR_SUBJECT,specification for tractor operated disc ploughs,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-7C21E3C1A59721BC,SYN-REQ-00041,Light basic magnesium carbonate - Specification (Second Revision),PRODUCT_OR_SUBJECT,light basic magnesium carbonate specification second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-82F6B3B421574CDC,SYN-REQ-00042,Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),PRODUCT_OR_SUBJECT,blow moulded hdpe containers for packing of vanaspati specification second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-57D9439F9D61EBE1,SYN-REQ-00043,Specification for static invertors for aircrafts,PRODUCT_OR_SUBJECT,specification for static invertors for aircrafts,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-99100E65ED2CEF5A,SYN-REQ-00044,Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,PRODUCT_OR_SUBJECT,schedule for properties and availability of stones for construction purposes part 2 maharashtra state sec 2 engineering properties of building stones,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-E483DC3997EEE2A5,SYN-REQ-00045,Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,PRODUCT_OR_SUBJECT,sterilization of health care products biological indicators part 2 biological indicators for ethylene oxide sterilization processes,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-689D33F7565A92BF,SYN-REQ-00046,Brass Anodes for Electroplating Specification,PRODUCT_OR_SUBJECT,brass anodes for electroplating specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-FF6137E69A8116C2,SYN-REQ-00047,Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,PRODUCT_OR_SUBJECT,textiles determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery part 1 method of the horizontally folded specimen second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-5B50AEBA7A56D8FB,SYN-REQ-00048,TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,PRODUCT_OR_SUBJECT,textiles handloom cotton light sheeting specification second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-F68EF2BDD3401DD6,SYN-REQ-00049,Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),PRODUCT_OR_SUBJECT,methods of test for petroleum and its products p 54 determination of phosphorus content quinoline phosphomolybdate method third revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-C80BEDD99D2427D3,SYN-REQ-00050,INDIAN CLUBS - SPECIFICATION,PRODUCT_OR_SUBJECT,indian clubs specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-BD418EA5370784D6,SYN-REQ-00051,Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),PRODUCT_OR_SUBJECT,glossary of terms relating to builders hardware part 2 latches first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-88A98F5CF13B8B46,SYN-REQ-00052,Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),PRODUCT_OR_SUBJECT,methods of test for brown coals and lignite part 3 determination of the yields of tar water gas and coke residue by low temperature distillation second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-62A1BAED5232124E,SYN-REQ-00053,Software engineering Guidelines for the application of ISO 9001:2008 to computer software,PRODUCT_OR_SUBJECT,software engineering guidelines for the application of iso 9001 2008 to computer software,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-AF828BDC729C3AA7,SYN-REQ-00054,Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,PRODUCT_OR_SUBJECT,karanja pongamia pinnata l pierre seed for use in traditional medicine specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-1B4379A40326661D,SYN-REQ-00055,Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,PRODUCT_OR_SUBJECT,equipment for harvesting and conservation round balers part 2 performance test method,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-4B4EFC5A0D408425,SYN-REQ-00056,Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,PRODUCT_OR_SUBJECT,cybersecurity iot security and privacy device baseline requirements,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-2D42A00FD90FD2EE,SYN-REQ-00057,Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,PRODUCT_OR_SUBJECT,agricultural grain driers determination of drying performance part 1 general,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-EB5302C4C25E58FB,SYN-REQ-00058,SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,PRODUCT_OR_SUBJECT,selection splicing installation and providing protection to the open ends of cables used for connecting resistance type measuring devices in concrete and masonry dams code of practice,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-320BCF9DC01D17F6,SYN-REQ-00059,Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),PRODUCT_OR_SUBJECT,specification for agricultural tillage discs part 2 flat type second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-8E6A4812B643D9B4,SYN-REQ-00060,"Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests",PRODUCT_OR_SUBJECT,specification for electronic equipment systems for use in coal and metalliferrousmines part 1 definitions general requirements and tests,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-AC40F4FB014121C9,SYN-REQ-00061,Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),PRODUCT_OR_SUBJECT,aeronautical and astronautical glossary of terms part 5 aerodynes heavier than air aircraft first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-7E8224E3376376E2,SYN-REQ-00062,Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,PRODUCT_OR_SUBJECT,earth moving machinery volumetric ratings for hoe type and grab type buckets of hydraulic excavators and backhoe loaders,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-959E25F948562166,SYN-REQ-00063,Piston - Operated volumetric apparatus: Part 2 piston pipettes,PRODUCT_OR_SUBJECT,piston operated volumetric apparatus part 2 piston pipettes,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-71CE59BFCA9643CE,SYN-REQ-00064,SODIUM CARBONATE ANHYDROUS SPECIFICATION,PRODUCT_OR_SUBJECT,sodium carbonate anhydrous specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-4C5ADF21BA357940,SYN-REQ-00065,Specification for rot-proofed cotton tapes for aerospace purposes (first revision),PRODUCT_OR_SUBJECT,specification for rot proofed cotton tapes for aerospace purposes first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-AF90CEBA300B9BC0,SYN-REQ-00066,Dissolved Acetylene (Gas) — Specification (Fourth Revision),PRODUCT_OR_SUBJECT,dissolved acetylene gas specification fourth revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-83ABCF0476E55EBC,SYN-REQ-00067,Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,PRODUCT_OR_SUBJECT,textiles braided nylon cords for aerospace purposes specification third revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-32A067149CEE3D43,SYN-REQ-00068,Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),PRODUCT_OR_SUBJECT,specification for potassium nitrate for explosive and pyrotechnic compositions second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-1913813DEE5C4024,SYN-REQ-00069,Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),PRODUCT_OR_SUBJECT,radio frequency and coaxial cable assemblies part 3 sectional specification for semi flexible coaxial cable assemblies first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-7D697ADBD41FC4E9,SYN-REQ-00070,Accuracy trueness and precision of measurement methods and results -- Part 2: Basic method for the determination of repeatability and reproducibility of a standard measurement method,PRODUCT_OR_SUBJECT,accuracy trueness and precision of measurement methods and results part 2 basic method for the determination of repeatability and reproducibility of a standard measurement method,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-AE697F8479F83153,SYN-REQ-00071,Boxes and Enclosures for Electrical Accessories for Household and Similar Fixed Electrical Installations — General Requirements ( First Revision ),PRODUCT_OR_SUBJECT,boxes and enclosures for electrical accessories for household and similar fixed electrical installations general requirements first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-37AB734A45C51ED2,SYN-REQ-00072,Oxygen Compressed Gas and Liquid-Specification (Fifth Revision),PRODUCT_OR_SUBJECT,oxygen compressed gas and liquid specification fifth revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-67B5FF809B0DC637,SYN-REQ-00073,Forestry Tools - Wooden Filing Vice - Specification,PRODUCT_OR_SUBJECT,forestry tools wooden filing vice specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-78E88CB1CF25613D,SYN-REQ-00074,Specification for caulking mallets,PRODUCT_OR_SUBJECT,specification for caulking mallets,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-1EEB9B8C5A2B1E7D,SYN-REQ-00075,"Solid mineral fuels - Determination of total carbon, hydrogen and nitrogen content - Instrumental method",PRODUCT_OR_SUBJECT,solid mineral fuels determination of total carbon hydrogen and nitrogen content instrumental method,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-B9515FC978169A82,SYN-REQ-00076,"Specification for linseed oil, raw and refined (Second Revision)",PRODUCT_OR_SUBJECT,specification for linseed oil raw and refined second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-0D2CF07EBF7D3A87,SYN-REQ-00077,Thermoplastics Hoses (Textile Reinforced) for Compressed Air — Specification (Second Revision),PRODUCT_OR_SUBJECT,thermoplastics hoses textile reinforced for compressed air specification second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-213296872D189449,SYN-REQ-00078,"General requirements for steel drop, upset and press forgings",PRODUCT_OR_SUBJECT,general requirements for steel drop upset and press forgings,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-981CFFDECB8890E1,SYN-REQ-00079,Face milling cutters with indexable inserts -- Dimensions,PRODUCT_OR_SUBJECT,face milling cutters with indexable inserts dimensions,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-E3D035037D460A04,SYN-REQ-00080,Specification for burner pliers,PRODUCT_OR_SUBJECT,specification for burner pliers,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-F78A5D8FD0A617DD,SYN-REQ-00081,Code of practice for corrosion protection of steel reinforcement in RB and RCC construction,PRODUCT_OR_SUBJECT,code of practice for corrosion protection of steel reinforcement in rb and rcc construction,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-4AF18761E0BF6D65,SYN-REQ-00082,Identification cards Physical characteristics,PRODUCT_OR_SUBJECT,identification cards physical characteristics,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-7E31C161418EBC9A,SYN-REQ-00083,Spectrometric analysis of cast iron by direct reading optical emission vacuum spectrometer - Point to plane technique,PRODUCT_OR_SUBJECT,spectrometric analysis of cast iron by direct reading optical emission vacuum spectrometer point to plane technique,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-3A47DC33F14004E2,SYN-REQ-00084,Code of practice for handling and storage of bagged fertilizers (First Revision),PRODUCT_OR_SUBJECT,code of practice for handling and storage of bagged fertilizers first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-C4D50A4BE351706D,SYN-REQ-00085,Code of Practice for Natural Ventilaltion of Residential Buildings (First Revision),PRODUCT_OR_SUBJECT,code of practice for natural ventilaltion of residential buildings first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-CC6596158433BCDF,SYN-REQ-00086,Methods of Measurements on Cathode - Ray Oscilloscope (Dc to 10 Mc/s),PRODUCT_OR_SUBJECT,methods of measurements on cathode ray oscilloscope dc to 10 mc s,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-04BA61B09243A28C,SYN-REQ-00087,Cotton Seed Delinting Machinery — HCL Gas Generation Unit — Specification,PRODUCT_OR_SUBJECT,cotton seed delinting machinery hcl gas generation unit specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-E01B9702BF208F58,SYN-REQ-00088,Tin or tin - Lead coated copper wire - Specificaiton (First Revision),PRODUCT_OR_SUBJECT,tin or tin lead coated copper wire specificaiton first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-D0B37E65AB3C3760,SYN-REQ-00089,Methods of tests for animal feeds and feeding stuffs: Part 1 general methods,PRODUCT_OR_SUBJECT,methods of tests for animal feeds and feeding stuffs part 1 general methods,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-C69D71A4396BA394,SYN-REQ-00090,Specification for wirebound wooden boxes,PRODUCT_OR_SUBJECT,specification for wirebound wooden boxes,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-F4FACDD981167F50,SYN-REQ-00091,Interpreting services Legal interpreting Requirements,PRODUCT_OR_SUBJECT,interpreting services legal interpreting requirements,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-49B09D1D125C662E,SYN-REQ-00092,"Textiles - Light Weight Jute Sacking Bags for Packing 50 kg Mustard Seed, Niger Seed and Ragi - Specification",PRODUCT_OR_SUBJECT,textiles light weight jute sacking bags for packing 50 kg mustard seed niger seed and ragi specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-97FAAF437016A782,SYN-REQ-00093,Ophthalmic optics - Uncut finished spectacle lenses: Part 5 minimum requirements for spectacle lens surfaces claimed to be abrasion - Resistant,PRODUCT_OR_SUBJECT,ophthalmic optics uncut finished spectacle lenses part 5 minimum requirements for spectacle lens surfaces claimed to be abrasion resistant,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-032B9BAC8FAD5692,SYN-REQ-00094,"Acetamiprid, SP - Specification",PRODUCT_OR_SUBJECT,acetamiprid sp specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-5532198D89B65C1B,SYN-REQ-00095,Internal Combustion Engines - Piston Rings - Oil Control Rings,PRODUCT_OR_SUBJECT,internal combustion engines piston rings oil control rings,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-4154A95A1C747495,SYN-REQ-00096,INEDIBLE OFFALS TROLLEY SPECIFICATION First Revision of IS 7891,PRODUCT_OR_SUBJECT,inedible offals trolley specification first revision of is 7891,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-CD98BF1A58B09CDB,SYN-REQ-00097,Glossary of terms relating to alcohol (ethyl) industry and trade,PRODUCT_OR_SUBJECT,glossary of terms relating to alcohol ethyl industry and trade,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-2D36652EB32FA8CB,SYN-REQ-00098,Implants for surgery - Metallic materials Part 14 Wrought titanium 15-molybdenum 5-zirconium 3-aluminium alloy,PRODUCT_OR_SUBJECT,implants for surgery metallic materials part 14 wrought titanium 15 molybdenum 5 zirconium 3 aluminium alloy,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
