query_id,query,target_standard_id,language,noise_type,record_type,synthetic_flag,validation_status
SYN-Q-00012,"Need applicable Indian Standard for Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",MSV1-01D80F37B360C671,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00013,Need applicable Indian Standard for SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),MSV1-9C953BC6A83742FF,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00014,Need applicable Indian Standard for Textiles — Grading of Uncut Indian Mesta (First Revision),MSV1-087B866DBA81E85E,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00015,"Need applicable Indian Standard for Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",MSV1-FE5E2ECF6D21CF29,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00016,Need applicable Indian Standard for Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,MSV1-0C690155FE0085AF,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00017,Need applicable Indian Standard for Pesticide - Pirimiphos methyl space spray specification,MSV1-D693BFD6B8182E44,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00018,Need applicable Indian Standard for Graphical symbols - Creation and design of public information symbols - Requirements,MSV1-CD0199B1E7D492C2,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00019,Need applicable Indian Standard for Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),MSV1-534FE5AB9580D1F1,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00020,Need applicable Indian Standard for Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,MSV1-BB72737E5DD7CEAA,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00021,Need applicable Indian Standard for METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,MSV1-6D3A36B9B8CB9BE9,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00022,Need applicable Indian Standard for Industrial automation glossary,MSV1-167162C38D5C79D6,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00023,Need applicable Indian Standard for Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,MSV1-6B037C23D010A219,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00024,Need applicable Indian Standard for ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),MSV1-A56935BCAF61C5DA,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00025,Need applicable Indian Standard for Specification for playgroijnd equipment for parks: Part ii horizontal bars,MSV1-CFBCFC071DA8AB32,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00026,Need applicable Indian Standard for Head configuration and gauging of countersunk head screws,MSV1-55FB1F79EB65BAA6,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00027,"Need applicable Indian Standard for Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",MSV1-A3F46B38962E88BA,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00028,Need applicable Indian Standard for Application guide for electrical relays for AC systems: Part i overcurrent relays for feeders and transformers,MSV1-7AD8E37548E77299,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00029,Need applicable Indian Standard for Straight bevel gears for general engineering and heavy engineering: Part 2 module and diametral pitches (First Revision),MSV1-51142D426ACE3C48,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00030,Need applicable Indian Standard for Vitreous Enamelware - Method of Test Part 2: Test Methods Section 2: Low and High Voltage Tests for Detecting and Locating Defects (Second Revision),MSV1-002B732AF92D3836,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00031,Need applicable Indian Standard for Specification for bifurcated rivets for general purposes,MSV1-FB09E8DE59382516,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00032,Need applicable Indian Standard for Internet of Things (loT) — Digital Twin — Use Cases,MSV1-6AB0A38FA591DFE5,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00033,Need applicable Indian Standard for Industrial Furnaces and Associated Processing Equipment - Safety Part 4 Protective Systems,MSV1-ACA33D17049B7DDB,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00034,"Need applicable Indian Standard for Triple superphosphate, fertilizer grade - Specification (Second Revision)",MSV1-16D15904229745DD,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00035,Need applicable Indian Standard for Nickel alloys - Flame atomic absorption spectrometric analysis - Method: Part 7 determination of aluminium content,MSV1-B81BC870E55EBFFF,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00036,Need applicable Indian Standard for CINEMATOGRAPHY 16 MM NEGATIVE PHOTOGRAPHIC SOUND RECORD ON 16 MM 3516 MM AND 3532 MM MOTION PICTURE FILM POSITIONS AND DIMENSIONS Adoption of ISO 71:2014,MSV1-5AAEFBBBB093A70E,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00037,Need applicable Indian Standard for Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests,MSV1-C04F07EF31F1FEAC,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00038,Need applicable Indian Standard for Specification for aluminium clad aluminium alloy sheet and strip for aircraft purposes (Alloy 24530),MSV1-D63F542EE2156E0B,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00039,Need applicable Indian Standard for Precast Reinforced Concrete Planks and Joist for Roofing and Flooring - Specification,MSV1-4455E8D32414E939,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00040,Need applicable Indian Standard for Specification for Tractor - Operated Disc Ploughs,MSV1-CC0EF6BFF04FBA78,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00041,Need applicable Indian Standard for Light basic magnesium carbonate - Specification (Second Revision),MSV1-F5A117CFA6A89A52,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00042,Need applicable Indian Standard for Blow moulded HDPE containers for packing of vanaspati - Specification (Second Revision),MSV1-20F980C6DE18EADC,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00043,Need applicable Indian Standard for Specification for static invertors for aircrafts,MSV1-D3BC74D77ED0F4F7,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00044,Need applicable Indian Standard for Schedule for properties and availability of stones for construction purposes: Part 2 Maharashtra state: Sec 2 engineering properties of building stones,MSV1-9BB274D7418FE7C4,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00045,Need applicable Indian Standard for Sterilization of Health Care Products â€• Biological Indicators Part 2 Biological Indicators for Ethylene Oxide Sterilization Processes,MSV1-E1A095C2E653AF03,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00046,Need applicable Indian Standard for Brass Anodes for Electroplating Specification,MSV1-D87E95A582F73F7A,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00047,Need applicable Indian Standard for Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision,MSV1-1BA4FB281572E84A,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00048,Need applicable Indian Standard for TEXTILES HANDLOOM COTTON LIGHT SHEETING SPECIFICATION Second Revision,MSV1-4987A2E27DA3EC13,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00049,Need applicable Indian Standard for Methods of test for petroleum and its products [P : 54] determination of phosphorus content - Quinoline phosphomolybdate method (Third Revision),MSV1-15A921B8AB460D19,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00050,Need applicable Indian Standard for INDIAN CLUBS - SPECIFICATION,MSV1-F34930B4433C6EFD,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00051,Need applicable Indian Standard for Glossary of Terms Relating to Builders Hardware Part 2 Latches (First revision ),MSV1-181DA99A9755CF77,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00052,Need applicable Indian Standard for Methods of test for brown coals and lignite : Part 3 determination of the yields of tar water gas and coke residue by low temperature distillation (Second Revision),MSV1-216B2AD022A6DB82,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00053,Need applicable Indian Standard for Software engineering Guidelines for the application of ISO 9001:2008 to computer software,MSV1-62876DA4B309C62E,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00054,Need applicable Indian Standard for Karanja [ Pongamia pinnata (L.) Pierre.] Seed for use in Traditional Medicine - Specification,MSV1-159215E002571816,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00055,Need applicable Indian Standard for Equipment for Harvesting and Conservation - Round Balers - Part 2 Performance Test Method,MSV1-AC36832ABD6F44F0,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00056,Need applicable Indian Standard for Cybersecurity - IoT Security and Privacy - Device Baseline Requirements,MSV1-D58636B0F249EF5F,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00057,Need applicable Indian Standard for Agricultural Grain Driers — Determination of Drying Performance : Part 1 General,MSV1-C9FA447378271B49,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00058,Need applicable Indian Standard for SELECTION SPLICING INSTALLATION AND PROVIDING PROTECTION TO THE OPEN ENDS OF CABLES USED FOR CONNECTING RESISTANCE TYPE MEASURING DEVICES IN CONCRETE AND MASONRY DAMS CODE OF PRACTICE,MSV1-1924A37A30C5BED4,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00059,Need applicable Indian Standard for Specification for Agricultural Tillage Discs : Part 2 Flat Type (Second Revision),MSV1-4D531161A2CAE000,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00060,"Need applicable Indian Standard for Specification for electronic equipment/systems for use in coal and metalliferrousmines: Part 1 definitions, general requirements and tests",MSV1-10E0D11BAB6B0242,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00061,Need applicable Indian Standard for Aeronautical and Astronautical - Glossary of Terms Part 5 Aerodynes (Heavier-Than-Air Aircraft) ( First Revision ),MSV1-FB0D6C55631DCD07,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00062,Need applicable Indian Standard for Earth - Moving machinery - Volumetric ratings for hoe - Type and grab - Type buckets of hydraulic excavators and backhoe loaders,MSV1-C7486328BDB04795,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00063,Need applicable Indian Standard for Piston - Operated volumetric apparatus: Part 2 piston pipettes,MSV1-32775E6D176E9B52,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00064,Need applicable Indian Standard for SODIUM CARBONATE ANHYDROUS SPECIFICATION,MSV1-3EE6E6CEFBBBAA43,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00065,Need applicable Indian Standard for Specification for rot-proofed cotton tapes for aerospace purposes (first revision),MSV1-C28B849A19335353,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00066,Need applicable Indian Standard for Dissolved Acetylene (Gas) — Specification (Fourth Revision),MSV1-F8585B27B64E0DB6,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00067,Need applicable Indian Standard for Textiles - Braided Nylon Cords for Aerospace Purposes - Specification third revision,MSV1-1D5C8ACDBD469023,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00068,Need applicable Indian Standard for Specification for potassium nitrate for explosive and pyrotechnic compositions (Second Revision),MSV1-EBF0E53E3B7C8421,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00069,Need applicable Indian Standard for Radio Frequency and Coaxial Cable Assemblies Part 3 Sectional Specification for Semi-Flexible Coaxial Cable Assemblies (FIRST REVISION),MSV1-4A907C376C1FEC4E,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00070,Need applicable Indian Standard for Accuracy trueness and precision of measurement methods and results -- Part 2: Basic method for the determination of repeatability and reproducibility of a standard measurement method,MSV1-2FB8896FE57FF286,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00071,Need applicable Indian Standard for Boxes and Enclosures for Electrical Accessories for Household and Similar Fixed Electrical Installations — General Requirements ( First Revision ),MSV1-D77B00FB118D1847,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00072,Need applicable Indian Standard for Oxygen Compressed Gas and Liquid-Specification (Fifth Revision),MSV1-F121E152DF098C26,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00073,Need applicable Indian Standard for Forestry Tools - Wooden Filing Vice - Specification,MSV1-4457FE82AC4343B7,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00074,Need applicable Indian Standard for Specification for caulking mallets,MSV1-EFE1C0A28FBC9938,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00075,"Need applicable Indian Standard for Solid mineral fuels - Determination of total carbon, hydrogen and nitrogen content - Instrumental method",MSV1-36E2896A8F6DBE9A,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00076,"Need applicable Indian Standard for Specification for linseed oil, raw and refined (Second Revision)",MSV1-C3E775C5D3C0B676,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00077,Need applicable Indian Standard for Thermoplastics Hoses (Textile Reinforced) for Compressed Air — Specification (Second Revision),MSV1-BD68203A8B808BEF,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00078,"Need applicable Indian Standard for General requirements for steel drop, upset and press forgings",MSV1-711F12AA4D3185FF,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00079,Need applicable Indian Standard for Face milling cutters with indexable inserts -- Dimensions,MSV1-05217E36FAA07E48,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00080,Need applicable Indian Standard for Specification for burner pliers,MSV1-4FA6BEE58C0361E0,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00081,Need applicable Indian Standard for Code of practice for corrosion protection of steel reinforcement in RB and RCC construction,MSV1-0ED0AEEAA160C0F3,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00082,Need applicable Indian Standard for Identification cards Physical characteristics,MSV1-F2B8C81D9651D8C4,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00083,Need applicable Indian Standard for Spectrometric analysis of cast iron by direct reading optical emission vacuum spectrometer - Point to plane technique,MSV1-98C79E65FCA9B896,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00084,Need applicable Indian Standard for Code of practice for handling and storage of bagged fertilizers (First Revision),MSV1-68B6BF273A128C63,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00085,Need applicable Indian Standard for Code of Practice for Natural Ventilaltion of Residential Buildings (First Revision),MSV1-3207589E6CC7265D,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00086,Need applicable Indian Standard for Methods of Measurements on Cathode - Ray Oscilloscope (Dc to 10 Mc/s),MSV1-E079F3EE43F25F44,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00087,Need applicable Indian Standard for Cotton Seed Delinting Machinery — HCL Gas Generation Unit — Specification,MSV1-963CBAE1082EA5A5,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00088,Need applicable Indian Standard for Tin or tin - Lead coated copper wire - Specificaiton (First Revision),MSV1-E1F727A5B35B6642,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00089,Need applicable Indian Standard for Methods of tests for animal feeds and feeding stuffs: Part 1 general methods,MSV1-8C5F266A8D69B02F,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00090,Need applicable Indian Standard for Specification for wirebound wooden boxes,MSV1-EAE3AFA1E85EB80E,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00091,Need applicable Indian Standard for Interpreting services Legal interpreting Requirements,MSV1-EE90A0D9E44D291B,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00092,"Need applicable Indian Standard for Textiles - Light Weight Jute Sacking Bags for Packing 50 kg Mustard Seed, Niger Seed and Ragi - Specification",MSV1-F6953CFBD86883DB,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00093,Need applicable Indian Standard for Ophthalmic optics - Uncut finished spectacle lenses: Part 5 minimum requirements for spectacle lens surfaces claimed to be abrasion - Resistant,MSV1-A2FB31A5B98B8AA1,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00094,"Need applicable Indian Standard for Acetamiprid, SP - Specification",MSV1-DD923D9519598E49,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00095,Need applicable Indian Standard for Internal Combustion Engines - Piston Rings - Oil Control Rings,MSV1-0C870B59777C045A,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00096,Need applicable Indian Standard for INEDIBLE OFFALS TROLLEY SPECIFICATION First Revision of IS 7891,MSV1-EEEA61349762B9AD,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00097,Need applicable Indian Standard for Glossary of terms relating to alcohol (ethyl) industry and trade,MSV1-50C6E265D848766B,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00098,Need applicable Indian Standard for Implants for surgery - Metallic materials Part 14 Wrought titanium 15-molybdenum 5-zirconium 3-aluminium alloy,MSV1-E21CD74B38CBABAD,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00099,Need applicable Indian Standard for Optics and Photonics - Optional Transfer Function - Application Part 1 Interchangeable Lenses for 35 mm Still Cameras,MSV1-3B294176B4915696,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00100,"Need applicable Indian Standard for Rubber seals - Joint rings for water supply, drainage and sewerage pipelines - Specification for materials (Second Revision)",MSV1-7ECD94DD25A51E39,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00101,Need applicable Indian Standard for Identification cards Identification of issuers Part 1: Numbering system,MSV1-318E7EA7018451CF,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00102,Need applicable Indian Standard for DOMESTIC GAS STOVES AND BUILT IN HOB FOR USE WITH PNG SPECIFICATION (First Revision of IS 17153),MSV1-CCD754723D09D544,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00103,Need applicable Indian Standard for General requirements for riders for buckets used in shaft sinking opeiRations in mines,MSV1-1C3EEAAF6AF39E6D,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00104,Need applicable Indian Standard for Guide to terotechnology (The Economic Management Of Assets): Part 3 guide to the available techniques,MSV1-C9DD6A75C3062D38,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00105,Need applicable Indian Standard for Anaesthetic and respiratory equipment - Conical connectors: Part 1 cones and sockets (First Revision),MSV1-166619FDC5DA4526,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00106,Need applicable Indian Standard for Wheat Bran as Livestock Feed Ingredient - Specification,MSV1-011A068CE3BBCED7,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00107,Need applicable Indian Standard for Insulating varnishes containing solvents: Part 3 specifications for individual materials: Sec 2 requirements for hot curing varnishes (First Revision),MSV1-45B3F0361AD3AF40,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00108,Need applicable Indian Standard for Heat - Treated steel tapping screws - Mechanical properties (Fourth Revision),MSV1-F6E9FC24023398EE,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00109,Need applicable Indian Standard for Graphical symbols for diagrams: Part 10 Fluid power converters,MSV1-BFF73C2C4B8446B1,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00110,Need applicable Indian Standard for Community Seed Bank Management System - Requirements,MSV1-05CE13DB7516C49E,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00111,Need applicable Indian Standard for Methods of Sampling and Test Physical and Chemical for Water and Wastewater Part 52 Chromium Section 2 Method Using Flow Analysis (FIA and CFA) and Spectrometric Detection,MSV1-E3F27BF3AB424BD3,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00112,Need applicable Indian Standard for Medical textiles – Pressure garment – Specification,MSV1-2DB6D68C46BE451A,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00113,Need applicable Indian Standard for Textiles - Fishing gear materials - Methods of test Part 3: Determination of twist (first revision),MSV1-78861F572B04BCFD,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00114,"Need applicable Indian Standard for Pesticides - 2, 4 - D sodium salt, technical - Specification",MSV1-00D1B38261ADBE8C,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00115,Need applicable Indian Standard for Geographic information - Geospatial API for features - Part 2: Coordinate Reference Systems by Reference,MSV1-7A836AB90053984A,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00116,"Need applicable Indian Standard for Specification for forceps, wire cutting, compound action, orthopaedic",MSV1-571ED5DC6E9B59A4,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00117,Need applicable Indian Standard for Additional lubricants for male natural rubber latex condoms — Effect on condom strength,MSV1-7A816F6A3CF2C78B,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00118,Need applicable Indian Standard for Power Quality Measurement in Power Supply Systems Part 1 Power Quality Instruments (Pqi),MSV1-990FB15EF33D73C4,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00119,Need applicable Indian Standard for Specification for wood wool building slabs,MSV1-8A8970820579FF63,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00120,Need applicable Indian Standard for Textiles – Tests for colour fastness Part C10 Colour fastness to washing with soap or soap and soda,MSV1-2D3946C3BA478F74,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00121,Need applicable Indian Standard for Slickers for Leather Industry - Specification,MSV1-22ABD8979FE8BB21,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
